Mag X,Mag Y,Mag Z
183,322.5,195
207,322.5,163.5
228,318,136.5
240,315,99
250.5,315,66
256.5,,24
255,318,-7.5
252,316.5,-39
240,,-64.5
232.5,312,-100.5
213,318,-133.5
195,315,-151.5
169.5,315,-181.5
153,313.5,-196.5
120,,-210
106.5,310.5,-219
84,313.5,-229.5
51,319.5,-237
31.5,318,-243
6,316.5,-247.5
-13.5,316.5,-240
-27,318,-237
-12,316.5,-246
13.5,316.5,-241.5
33,315,-243
30,315,-241.5
33,324,-243
33,322.5,-241.5
40.5,321,-237
135,307.5,-205.5
192,310.5,-162
234,315,-96
252,313.5,-52.5
258,318,-16.5
259.5,,13.5
253.5,318,42
255,318,61.5
244.5,315,79.5
244.5,322.5,111
214.5,312,145.5
187.5,313.5,186
172.5,324,207
159,,211.5
150,322.5,225
96,319.5,253.5
46.5,325.5,267
-12,333,270
-72,331.5,270
-139.5,333,244.5
-187.5,327,211.5
-196.5,336,211.5
-225,331.5,172.5
-255,,135
-264,330,90
-270,333,66
-279,331.5,66
-277.5,336,69
-274.5,328.5,66
-280.5,322.5,48
-276,328.5,-16.5
-264,325.5,-73.5
-240,328.5,-120
-220.5,324,-147
-207,324,-162
-202.5,324,-169.5
-204,318,-168
-202.5,,-162
-195,322.5,-178.5
-156,324,-204
-121.5,327,-220.5
-91.5,318,-223.5
-67.5,325.5,-235.5
-42,315,-240
-16.5,321,-238.5
7.5,321,-246
12,315,-243
6,319.5,-238.5
10.5,312,-247.5
3,319.5,-240
7.5,322.5,-241.5
1.5,321,-241.5
7.5,319.5,-235.5
10.5,318,-244.5
7.5,316.5,-244.5
10.5,313.5,-243
9,316.5,-244.5
6,318,-238.5
10.5,319.5,-246
