Mag X,Mag Y,Mag Z
84,750,559.5
64.5,750,549
58.5,745.5,544.5
51,750,540
57,750,541.5
52.5,,543
45,754.5,543
52.5,748.5,534
54,,532.5
51,748.5,537
46.5,748.5,541.5
48,748.5,535.5
48,753,538.5
55.5,756,537
46.5,751.5,541.5
51,750,540
51,,540
48,748.5,541.5
46.5,754.5,546
52.5,750,546
51,,550.5
