Mag X	Mag Y	Mag Z		
-396	661.5	-490.5	-118	-157.5
-399	676.5	-486	-121	-153
-397.5	664.5	-477	-119.5	-144
-397.5	666	-472.5	-119.5	-139.5
-400.5	672	-478.5	-122.5	-145.5
-402	670.5	-478.5	-124	-145.5
-390	673.5	-481.5	-112	-148.5
-393		-471	-115	-138
-385.5	675	-474	-107.5	-141
-388.5	669	-472.5	-110.5	-139.5
-343.5	676.5	-451.5	-65.5	-118.5
-324	694.5	-459	-46	-126
-340.5	690	-451.5	-62.5	-118.5
-340.5	667.5	-487.5	-62.5	-154.5
-352.5	654	-468	-74.5	-135
-333	625.5	-490.5	-55	-157.5
-408	630	-477	-130	-144
-448.5	634.5	-456	-170.5	-123
-486	651	-346.5	-208	-13.5
-502.5	654	-258	-224.5	75
-516	651	-288	-238	45
-511.5	649.5	-306	-233.5	27
-514.5	649.5	-301.5	-236.5	31.5
-522	648	-321	-244	12
-508.5	643.5	-340.5	-230.5	-7.5
-520.5	648	-334.5	-242.5	-1.5
-520.5	657	-321	-242.5	12
-519	646.5	-327	-241	6
-516	655.5	-321	-238	12
-516	651	-315	-238	18
-519	651	-321	-241	12
-526.5	649.5	-324	-248.5	9
-519	660	-316.5	-241	16.5
-520.5	649.5	-318	-242.5	15
-525	654	-322.5	-247	10.5
-517.5	652.5	-322.5	-239.5	10.5
-517.5	654	-319.5	-239.5	13.5
-519	648	-325.5	-241	7.5
-498	640.5	-358.5	-220	-25.5
-498	637.5	-370.5	-220	-37.5
-504	658.5	-363	-226	-30
-496.5	654	-366	-218.5	-33
-495	646.5	-366	-217	-33
-493.5	655.5	-361.5	-215.5	-28.5
-495	655.5	-361.5	-217	-28.5
-493.5	651	-364.5	-215.5	-31.5
-496.5	651	-369	-218.5	-36
-490.5	651	-364.5	-212.5	-31.5
-496.5	658.5	-358.5	-218.5	-25.5
-490.5	658.5	-363	-212.5	-30
-498	648	-361.5	-220	-28.5
-493.5	660	-358.5	-215.5	-25.5
-493.5	654	-360	-215.5	-27
-493.5	654	-361.5	-215.5	-28.5
-504			-226	333
-499.5	651	-361.5	-221.5	-28.5
-496.5	651	-366	-218.5	-33
-496.5	660	-361.5	-218.5	-28.5
-490.5	657	-360	-212.5	-27
-496.5	655.5	-363	-218.5	-30
-499.5	658.5	-361.5	-221.5	-28.5
-496.5	652.5	-361.5	-218.5	-28.5
-498	655.5	-361.5	-220	-28.5
-493.5	651	-379.5	-215.5	-46.5
-484.5	646.5	-381	-206.5	-48
-493.5	660	-370.5	-215.5	-37.5
-490.5	657	-366	-212.5	-33
-498	652.5	-364.5	-220	-31.5
-496.5	658.5	-367.5	-218.5	-34.5
-492	655.5	-367.5	-214	-34.5
-493.5	652.5	-370.5	-215.5	-37.5
-492	655.5	-375	-214	-42
-501	657	-373.5	-223	-40.5
