Mag X	Mag Y	Mag Z
66	742.5	552
72	754.5	553.5
66	747	547.5
66	745.5	550.5
67.5		540
70.5	741	541.5
76.5	747	540
69	744	543
72	744	544.5
72	745.5	553.5
82.5		558
87		579
84	766.5	580.5
78	759	583.5
79.5	765	573
76.5	765	579
87	762	588
84	756	582
90	750	576
79.5		579
84	751.5	571.5
88.5	747	570
75	751.5	577.5
75		570
81	750	576
81	751.5	573
82.5		577.5
79.5	753	580.5
88.5	756	576
79.5	751.5	576
85.5	748.5	576
85.5	745.5	571.5
78	751.5	574.5
85.5	766.5	573
82.5	753	576
75	759	579
85.5	756	573
81	753	577.5
81	748.5	571.5
82.5	754.5	571.5
70.5	751.5	562.5
48	745.5	549
31.5	757.5	550.5
27	763.5	541.5
9		541.5
-10.5	760.5	546
-15	756	544.5
-30		562.5
-28.5	760.5	564
-33	765	562.5
-33	766.5	562.5
-31.5	763.5	571.5
-27	760.5	565.5
-48	763.5	591
-48	759	583.5
-57	762	595.5
-55.5	766.5	625.5
-69	756	649.5
-66	762	661.5
-73.5	757.5	682.5
-70.5	753	711
-73.5	748.5	753
-64.5	747	780
-67.5	753	780
-73.5	757.5	781.5
-61.5		786
-64.5	751.5	762
-67.5		
-73.5	748.5	723
-78	754.5	718.5
-72	751.5	729
-70.5	757.5	727.5
-66	756	733.5
-64.5	756	730.5
-67.5	762	727.5
-66	762	723
-69	760.5	732
-64.5	762	729
-67.5		733.5
-72	760.5	729
-63	754.5	732
-70.5	759	733.5
-79.5	759	732
-69	759	741
-64.5		745.5
-73.5	754.5	739.5
-66	763.5	735
-66	765	745.5
-72	759	738
-72	763.5	742.5
-64.5		742.5
-66	766.5	742.5
-70.5	760.5	739.5
-73.5	759	738
-70.5	760.5	741
-66	759	735
-70.5	756	738
-69	760.5	735
-72	756	738
-69	756	733.5
-63	753	735
-64.5	754.5	756
-64.5	759	
-58.5	756	817.5
-51		870
-45	750	879
-54	754.5	879
-43.5	744	939
-22.5	747	957
-15		993
-12	739.5	1005
-12	742.5	1018.5
7.5	744	1056
18		1087.5
31.5	733.5	1105.5
30		
37.5	727.5	1119
33	735	1125
43.5	733.5	1128
43.5	727.5	1149
52.5	727.5	1156.5
61.5	733.5	1153.5
70.5	739.5	1180.5
78	727.5	1188
99	729	1203
112.5	739.5	1212
117	736.5	1206
112.5	738	1204.5
111	733.5	1206
111	729	1203
111	732	1201.5
106.5	733.5	1200
112.5	735	1204.5
115.5		1207.5
109.5	736.5	1201.5
111		
111	732	1207.5
111	735	1207.5
109.5		1204.5
112.5	729	1203
109.5		1207.5
111	736.5	1206
121.5	730.5	1204.5
115.5	736.5	1209
112.5	742.5	1206
109.5	735	1207.5
108	730.5	1203
111	735	1203
114	738	1206
127.5	735	1219.5
142.5	730.5	1236
150	735	1236
163.5	727.5	1242
180	730.5	1246.5
186	729	1249.5
187.5	721.5	1251
181.5	724.5	1251
199.5	723	1246.5
207	723	1255.5
226.5	721.5	1242
223.5		1227
228		1231.5
232.5	721.5	1230
238.5	717	1221
253.5	723	1191
256.5	717	1188
259.5	718.5	1180.5
270	715.5	1150.5
268.5	723	1128
270	715.5	1101
273	720	1074
267	721.5	1060.5
264	729	1059
264	720	1062
265.5	718.5	1056
259.5		1054.5
264	721.5	1054.5
264	724.5	1051.5
259.5	717	1047
268.5	720	1057.5
264	720	1048.5
270	727.5	1051.5
265.5	721.5	1054.5
268.5		1051.5
264	724.5	1056
267	723	1053
265.5	717	1060.5
265.5		
261		1053
264	721.5	1051.5
261		1053
267	720	1054.5
259.5	714	1060.5
267	724.5	1051.5
259.5	720	1030.5
253.5	720	996
256.5	727.5	952.5
241.5		921
229.5	735	873
214.5	724.5	826.5
208.5	735	802.5
195	735	754.5
172.5		708
156	742.5	670.5
135	741	643.5
123	744	621
103.5	748.5	600
87		585
73.5	747	573
60	753	556.5
61.5	751.5	559.5
60	759	561
57	750	558
52.5	750	559.5
57	751.5	564
54	753	555
54	756	559.5
55.5	751.5	550.5
