Mag X,Mag Y,Mag Z
-43.50,252.00,315.00
-40.50,262.50,313.50
-46.50,256.50,319.50
-42.00,252.00,306.00
-37.50,264.00,313.50
-39.00,252.00,312.00
-39.00,261.00,306.00
-28.50,261.00,322.50
-28.50,253.50,309.00
-28.50,270.00,307.50
-30.00,264.00,298.50
-10.50,256.50,303.00
34.50,261.00,313.50
52.50,264.00,307.50
90.00,256.50,303.00
133.50,261.00,291.00
163.50,279.00,267.00
190.50,261.00,256.50
238.50,262.50,214.50
253.50,262.50,186.00
267.00,265.50,147.00
283.50,270.00,103.50
282.00,270.00,90.00
286.50,265.50,84.00
289.50,270.00,79.50
286.50,273.00,85.50
289.50,271.50,57.00
289.50,276.00,58.50
292.50,274.50,33.00
289.50,274.50,30.00
291.00,276.00,46.50
288.00,282.00,64.50
285.00,276.00,46.50
295.50,286.50,34.50
291.00,262.50,18.00
288.00,267.00,4.50
292.50,274.50,3.00
291.00,259.50,16.50
292.50,270.00,-10.50
291.00,268.50,-36.00
285.00,264.00,-43.50
270.00,265.50,-87.00
265.50,265.50,-118.50
252.00,255.00,-133.50
237.00,262.50,-171.00
187.50,261.00,-202.50
169.50,259.50,-217.50
144.00,264.00,-235.50
126.00,265.50,-238.50
93.00,265.50,-244.50
63.00,285.00,-250.50
63.00,282.00,-261.00
61.50,273.00,-253.50
64.50,283.50,-255.00
70.50,279.00,-235.50
60.00,285.00,-240.00
67.50,294.00,-231.00
63.00,288.00,-238.50
63.00,286.50,-237.00
70.50,292.50,-231.00
61.50,297.00,-222.00
66.00,301.50,-219.00
66.00,306.00,-219.00
66.00,286.50,-223.50
55.50,298.50,-223.50
-9.00,300.00,-223.50
-46.50,297.00,-226.50
-76.50,298.50,-217.50
-123.00,292.50,-213.00
-168.00,282.00,-192.00
-210.00,282.00,-159.00
-232.50,280.50,-135.00
-253.50,264.00,-103.50
-261.00,271.50,-76.50
-261.00,270.00,-55.50
-256.50,271.50,-45.00
-255.00,268.50,-36.00
-258.00,276.00,-39.00
-243.00,265.50,-52.50
-255.00,276.00,-43.50
-256.50,,
-249.00,268.50,-36.00
-250.50,270.00,-24.00
-252.00,271.50,-24.00
-256.50,265.50,-27.00
-259.50,,-24.00
-258.00,267.00,-22.50
-255.00,255.00,58.50
-264.00,271.50,79.50
-238.50,265.50,114.00
-228.00,258.00,126.00
-223.50,267.00,120.00
-231.00,258.00,111.00
-226.50,262.50,121.50
-214.50,268.50,196.50
-186.00,268.50,235.50
-160.50,259.50,264.00
-121.50,265.50,298.50
-90.00,,
-52.50,247.50,324.00
-33.00,258.00,327.00
-6.00,244.50,327.00
18.00,246.00,328.50
7.50,250.50,331.50
9.00,244.50,333.00
13.50,250.50,325.50
12.00,255.00,328.50
3.00,243.00,331.50
9.00,252.00,331.50
10.50,262.50,318.00
7.50,250.50,313.50
7.50,253.50,322.50
7.50,262.50,316.50
6.00,247.50,319.50
4.50,255.00,313.50
4.50,255.00,321.00
3.00,252.00,325.50
10.50,253.50,325.50
3.00,255.00,324.00
