106	387
116.5	385.5
113.5	381
119.5	379.5
122.5	252
128.5	379.5
131.5	381
131.5	382.5
124	388.5
103	384
119.5	385.5
119.5	378
77.5	372
44.5	352.5
59.5	354
56.5	352.5
47.5	331.5
53.5	340.5
53.5	324
67	310.5
70	315
68.5	316.5
71.5	310.5
73	310.5
65.5	306
74.5	312
62.5	307.5
76	303
82	306
83.5	307.5
79	307.5
97	307.5
119.5	301.5
128.5	300
136	310.5
131.5	304.5
137.5	313.5
137.5	310.5
146.5	310.5
160	313.5
175	316.5
181	312
179.5	252
184	322.5
185.5	315
185.5	315
197.5	327
188.5	322.5
199	325.5
203.5	324
206.5	322.5
214	334.5
221.5	324
244	333
262	330
260.5	324
262	316.5
257.5	304.5
244	304.5
263.5	303
266.5	303
262	288
269.5	292.5
265	286.5
256	277.5
262	270
263.5	268.5
254.5	262.5
256	270
257.5	262.5
257.5	246
253	249
248.5	244.5
247	235.5
244	232.5
248.5	232.5
244	222
241	220.5
233.5	213
238	205.5
232	199.5
224.5	190.5
224.5	187.5
215.5	181.5
212.5	184.5
218.5	181.5
214	181.5
215.5	181.5
220	175.5
208	175.5
220	177
221.5	183
218.5	181.5
220	177
218.5	169.5
218.5	180
215.5	175.5
232	175.5
232	178.5
232	175.5
223	174
236.5	180
227.5	178.5
236.5	180
235	177
241	166.5
236.5	174
235	180
230.5	168
238	177
236.5	172.5
233.5	175.5
233.5	175.5
236.5	174
230.5	169.5
229	169.5
229	169.5
233.5	166.5
236.5	172.5
230.5	174
233.5	171
236.5	168
227.5	166.5
232	169.5
236.5	174
226	160.5
235	174
232	169.5
230.5	171
236.5	174
233.5	174
227.5	163.5
233.5	171
227.5	174
230.5	174
235	174
226	169.5
230.5	166.5
235	168
232	174
239.5	178.5
236.5	175.5
230.5	168
230.5	169.5
239.5	163.5
235	160.5
227.5	157.5
229	153
233.5	142.5
229	141
232	133.5
224.5	117
217	109.5
212.5	93
208	87
203.5	79.5
188.5	66
187	61.5
193	48
176.5	37.5
164.5	25.5
164.5	21
158.5	15
158.5	12
149.5	-15
134.5	-33
124	-58.5
110.5	-85.5
104.5	-81
110.5	-81
104.5	-85.5
92.5	-103.5
80.5	-133.5
70	-139.5
70	-144
55	-153
43	-174
34	-177
31	-186
16	-195
2.5	-214.5
-5	-208.5
-12.5	-216
-15.5	-213
-35	-237
-59	-261
-69.5	-261
-77	-255
-86	-262.5
-99.5	-271.5
-107	-277.5
-110	-309
-119	-309
-120.5	-322.5
-137	-310.5
-147.5	-309
-144.5	-301.5
-167	-295.5
-167	-288
-171.5	-295.5
-168.5	-295.5
-170	-363
-165.5	-336
-162.5	-325.5
-162.5	-301.5
-152	-304.5
-156.5	-312
-153.5	-304.5
-156.5	-316.5
-162.5	-330
-165.5	-324
-161	-319.5
-159.5	-321
-158	-310.5
-164	-321
-162.5	-325.5
-170	-321
-161	-322.5
-161	-319.5
-153.5	-324
-156.5	-322.5
-158	-324
-141.5	-366
-147.5	-360
-143	-358.5
-141.5	-363
-144.5	-363
-140	-363
-141.5	-361.5
-140	-363
-135.5	-361.5
-140	-363
-138.5	-361.5
-147.5	-364.5
-140	-372
-141.5	252
-137	-370.5
-143	-361.5
-135.5	-355.5
-143	-360
-138.5	-364.5
-141.5	-363
-141.5	-369
-137	-361.5
-140	-367.5
-140	-363
-144.5	-366
-143	-364.5
-144.5	-366
-143	-360
-150.5	-363
-146	-367.5
-147.5	-360
-141.5	-363
-146	252
-140	-363
-146	-367.5
-144.5	-361.5
-140	-361.5
-141.5	-370.5
-149	-361.5
-147.5	-363
-150.5	-367.5
-146	-364.5
-138.5	-363
-143	-369
-146	-370.5
-141.5	-364.5
-141.5	-366
-146	-366
-138.5	-352.5
-146	-357
-143	-357
-149	-354
-137	252
-152	-358.5
-146	-357
-146	-352.5
-138.5	-352.5
-120.5	-372
-99.5	-388.5
-105.5	-369
-92	-364.5
-95	-348
-89	-345
-89	-333
-98	-310.5
-90.5	-301.5
-86	252
-83	-298.5
-75.5	-301.5
-65	-309
-56	-307.5
-59	-312
-60.5	-294
-72.5	-279
-78.5	-273
-87.5	-270
-72.5	-267
-74	-270
-72.5	-262.5
-77	-253.5
-87.5	-250.5
-95	-234
-95	-225
-107	-216
-116	-201
-129.5	-189
-144.5	-183
-146	-177
-152	-174
-168.5	-148.5
-183.5	-130.5
-188	-130.5
-186.5	-111
-198.5	-85.5
-209	-64.5
-207.5	-54
-215	-40.5
-221	-22.5
-216.5	-4.5
-222.5	22.5
-230	24
-233	-21
-240.5	-36
-254	-82.5
-248	-88.5
-258.5	-79.5
-257	-49.5
-254	-79.5
-267.5	-70.5
-257	-73.5
-257	-69
-263	-78
-254	-70.5
-261.5	-48
-263	-84
-251	-82.5
-257	-81
-264.5	-88.5
-251	-90
-252.5	-85.5
-260	-88.5
-257	-91.5
-254	-90
-255.5	-87
-251	-85.5
-267.5	-90
-261.5	-90
-260	-90
-257	-91.5
-261.5	-91.5
-255.5	-85.5
-261.5	-90
-254	-93
-257	-88.5
-263	252
-260	-93
-254	-102
-264.5	-93
-257	-85.5
-269	-67.5
-264.5	-60
-266	-58.5
-261.5	-76.5
-251	-82.5
-230	-64.5
-210.5	-61.5
-176	-54
-162.5	-34.5
-165.5	-21
-156.5	-6
-153.5	6
-152	18
-144.5	39
-147.5	48
-143	69
-143	82.5
-134	81
-129.5	93
-129.5	112.5
-132.5	127.5
-125	138
-116	163.5
-119	186
-113	193.5
-107	196.5
-105.5	211.5
-104	220.5
-105.5	229.5
-98	243
-93.5	247.5
-86	270
-86	283.5
-81.5	279
-71	286.5
-69.5	298.5
-53	304.5
-48.5	313.5
-42.5	318
-32	319.5
-15.5	252
-17	315
-12.5	318
-12.5	321
2.5	319.5
10	316.5
4	324
22	321
23.5	330
31	336
29.5	321
46	331.5
43	334.5
43	328.5
50.5	337.5
41.5	345
59.5	340.5
59.5	340.5
56.5	342
61	334.5
56.5	325.5
58	325.5
61	316.5
55	319.5
58	316.5
61	319.5
59.5	315
56.5	322.5
61	322.5
56.5	321
56.5	321
59.5	319.5
56.5	319.5
65.5	313.5
65.5	316.5
59.5	321
61	315
58	321
59.5	315
59.5	312
59.5	316.5
58	312
59.5	310.5
62.5	321
65.5	318
59.5	318
55	316.5
62.5	318
62.5	316.5
64	321
61	321
58	313.5
61	312
55	312
67	316.5
56.5	312
59.5	313.5
58	318
56.5	321
53.5	309
62.5	316.5
58	322.5
58	318
56.5	312
58	309
58	312
55	321
62.5	315
58	315
58	312
61	310.5
59.5	297
52	297
50.5	300
58	301.5
