27	324	219
27	331.5	217.5
24	330	223.5
28.5	328.5	223.5
31.5	333	217.5
28.5	333	220.5
31.5	327	219
37.5	327	216
31.5	334.5	220.5
21	336	220.5
25.5	334.5	214.5
31.5	331.5	222
27	333	219
30	330	220.5
78	342	
115.5	337.5	217.5
127.5	331.5	216
153	321	
172.5	313.5	201
202.5	298.5	205.5
222	288	207
243	279	207
244.5	274.5	205.5
244.5	270	205.5
243	274.5	211.5
241.5	274.5	
241.5	276	205.5
261	258	199.5
273	234	
286.5	219	198
291	202.5	199.5
303		192
306	165	196.5
304.5	145.5	193.5
312	129	195
315	135	190.5
310.5	124.5	190.5
307.5	130.5	195
312	97.5	190.5
309	79.5	187.5
301.5	30	190.5
294	-1.5	190.5
286.5	-16.5	190.5
289.5	-15	189
268.5	-63	195
261	-90	
258	-97.5	189
241.5	-111	195
237	-126	193.5
228	-139.5	193.5
225	-139.5	183
225	-133.5	
225	-132	192
223.5	-133.5	189
223.5	-141	192
228	-142.5	190.5
193.5	-180	193.5
171	-198	192
139.5	-219	192
103.5	-237	
90	-243	201
60	-249	196.5
54	-253.5	195
34.5	-265.5	202.5
18	-259.5	201
0	-268.5	
-12	-265.5	210
-33	-267	208.5
-48	-262.5	211.5
-45	-267	
-72	-261	207
-88.5	-258	217.5
-112.5	-247.5	211.5
-132	-243	210
-142.5	-235.5	214.5
-151.5	-226.5	220.5
-174	-216	223.5
-186	-208.5	
-202.5	-180	222
-207	-177	226.5
-219	-157.5	225
-235.5	-135	228
-235.5	-118.5	231
-253.5	-96	229.5
-247.5	-84	232.5
-246	-52.5	228
-247.5	-28.5	231
-249	-3	231
-246	15	234
-244.5	24	232.5
-244.5	43.5	237
-237	61.5	235.5
-237	84	234
-234	91.5	231
-231	88.5	234
-241.5	91.5	232.5
-235.5		235.5
-229.5	108	237
-213	139.5	241.5
-189	184.5	238.5
-160.5	213	238.5
-138	229.5	237
-108	262.5	234
-87	276	231
-52.5	304.5	
-22.5	310.5	222
-9	322.5	226.5
24	334.5	225
42	337.5	229.5
61.5	339	222
78	340.5	220.5
94.5	340.5	219
106.5	342	211.5
127.5	337.5	220.5
121.5	339	216
124.5	334.5	214.5
133.5	337.5	211.5
124.5	337.5	217.5
126	337.5	216
