Mag X,Mag Y,Mag Z
-12.00,475.50,-123.00
-16.50,,
-13.50,472.50,-136.50
-15.00,484.50,-136.50
-10.50,,
-9.00,480.00,-121.50
-9.00,480.00,-135.00
-6.00,469.50,-127.50
-12.00,477.00,-123.00
-9.00,481.50,-136.50
-16.50,477.00,-127.50
-13.50,474.00,-129.00
-15.00,484.50,-127.50
-9.00,463.50,-138.00
-12.00,480.00,-135.00
-19.50,474.00,-133.50
-19.50,469.50,-135.00
-13.50,475.50,-127.50
-18.00,475.50,-123.00
-19.50,472.50,-126.00
-15.00,472.50,-129.00
-22.50,481.50,-129.00
-21.00,471.00,-132.00
-31.50,475.50,-124.50
-51.00,475.50,-124.50
-63.00,472.50,-127.50
-82.50,469.50,-121.50
-118.50,465.00,-114.00
-120.00,469.50,-108.00
-135.00,466.50,-100.50
-135.00,465.00,-97.50
-147.00,462.00,-94.50
-159.00,469.50,-91.50
-171.00,463.50,-79.50
-187.50,463.50,-66.00
-190.50,462.00,-54.00
-198.00,462.00,-42.00
-217.50,451.50,-34.50
-219.00,465.00,-7.50
-223.50,460.50,-1.50
-235.50,457.50,13.50
-232.50,465.00,27.00
-237.00,456.00,30.00
-238.50,453.00,40.50
-243.00,457.50,43.50
-235.50,460.50,43.50
-241.50,453.00,43.50
-241.50,463.50,48.00
-238.50,460.50,39.00
-244.50,456.00,52.50
-238.50,468.00,45.00
-235.50,457.50,45.00
-237.00,453.00,45.00
-240.00,460.50,43.50
-237.00,453.00,43.50
-238.50,457.50,45.00
-247.50,459.00,54.00
-222.00,462.00,36.00
-216.00,463.50,34.50
-214.50,465.00,31.50
-214.50,465.00,36.00
-211.50,459.00,31.50
-213.00,472.50,34.50
-214.50,469.50,33.00
-211.50,457.50,30.00
-211.50,472.50,31.50
-211.50,463.50,30.00
-210.00,457.50,34.50
-208.50,460.50,34.50
-207.00,457.50,37.50
-213.00,463.50,33.00
-210.00,466.50,33.00
-211.50,463.50,31.50
-214.50,466.50,33.00
-213.00,469.50,30.00
-210.00,460.50,30.00
-213.00,454.50,33.00
-222.00,,
-208.50,465.00,39.00
-217.50,459.00,37.50
-213.00,474.00,28.50
-210.00,462.00,30.00
-213.00,456.00,34.50
-211.50,466.50,30.00
-214.50,468.00,30.00
-210.00,468.00,25.50
-216.00,465.00,27.00
-204.00,462.00,28.50
-210.00,457.50,28.50
-210.00,466.50,30.00
-211.50,468.00,34.50
-207.00,460.50,34.50
-216.00,463.50,30.00
-213.00,466.50,31.50
-210.00,460.50,33.00
-216.00,468.00,30.00
-213.00,457.50,33.00
-211.50,469.50,37.50
-214.50,472.50,34.50
-210.00,463.50,27.00
-214.50,465.00,27.00
-211.50,469.50,36.00
-211.50,463.50,31.50
-217.50,459.00,25.50
-241.50,447.00,48.00
-235.50,451.50,49.50
-243.00,453.00,57.00
-237.00,462.00,57.00
-234.00,457.50,52.50
-237.00,457.50,52.50
-234.00,460.50,48.00
-232.50,448.50,46.50
-234.00,,
-238.50,462.00,
-237.00,459.00,49.50
-238.50,456.00,42.00
-237.00,459.00,48.00
-237.00,450.00,54.00
-231.00,454.50,46.50
-240.00,462.00,46.50
-235.50,454.50,40.50
-237.00,462.00,37.50
-235.50,463.50,43.50
-235.50,451.50,42.00
-238.50,454.50,48.00
-237.00,460.50,48.00
-234.00,450.00,43.50
-237.00,453.00,43.50
-238.50,457.50,48.00
-234.00,453.00,54.00
-235.50,454.50,49.50
-237.00,465.00,48.00
-235.50,451.50,51.00
-237.00,462.00,48.00
-240.00,459.00,55.50
-234.00,456.00,46.50
-232.50,456.00,54.00
-235.50,459.00,72.00
-243.00,453.00,78.00
-235.50,459.00,100.50
-234.00,459.00,103.50
-235.50,456.00,121.50
-228.00,460.50,133.50
-228.00,460.50,136.50
-219.00,451.50,150.00
-213.00,459.00,166.50
-211.50,465.00,171.00
-205.50,454.50,174.00
-199.50,459.00,184.50
-193.50,462.00,198.00
-186.00,457.50,195.00
-180.00,463.50,210.00
-162.00,462.00,219.00
-156.00,463.50,225.00
-148.50,465.00,231.00
-138.00,471.00,237.00
-127.50,468.00,244.50
-118.50,474.00,238.50
-118.50,472.50,240.00
-97.50,466.50,244.50
-106.50,463.50,249.00
-97.50,475.50,249.00
-103.50,474.00,244.50
-96.00,483.00,246.00
-96.00,475.50,247.50
-88.50,466.50,244.50
-93.00,475.50,
-87.00,472.50,253.50
-94.50,466.50,247.50
-93.00,466.50,252.00
-87.00,474.00,253.50
-87.00,466.50,249.00
-87.00,472.50,252.00
-90.00,475.50,250.50
-97.50,459.00,241.50
-87.00,474.00,252.00
-88.50,475.50,252.00
-88.50,466.50,246.00
-91.50,466.50,255.00
-87.00,481.50,253.50
-87.00,471.00,249.00
-94.50,468.00,249.00
-97.50,,
-102.00,466.50,250.50
-96.00,463.50,250.50
-96.00,,250.50
-97.50,,252.00
-99.00,,
-94.50,471.00,252.00
-90.00,469.50,258.00
-66.00,463.50,249.00
-69.00,466.50,252.00
-67.50,471.00,247.50
-69.00,471.00,246.00
-67.50,472.50,252.00
-64.50,468.00,250.50
-72.00,474.00,252.00
-66.00,462.00,250.50
-60.00,462.00,252.00
-63.00,468.00,249.00
-70.50,471.00,255.00
-69.00,460.50,249.00
-66.00,463.50,252.00
-72.00,471.00,249.00
-64.50,463.50,250.50
-70.50,465.00,250.50
-73.50,468.00,252.00
-67.50,469.50,250.50
-67.50,460.50,247.50
-73.50,474.00,249.00
-66.00,462.00,244.50
-69.00,463.50,253.50
-70.50,478.50,255.00
-67.50,469.50,247.50
-66.00,465.00,246.00
-63.00,468.00,249.00
-72.00,463.50,246.00
-69.00,466.50,249.00
-73.50,472.50,249.00
-69.00,462.00,247.50
-70.50,465.00,246.00
-64.50,466.50,252.00
-63.00,460.50,249.00
-60.00,465.00,246.00
-66.00,469.50,253.50
-63.00,462.00,250.50
-70.50,460.50,250.50
-69.00,469.50,252.00
-66.00,463.50,247.50
-69.00,462.00,247.50
-58.50,474.00,250.50
-63.00,466.50,255.00
-64.50,460.50,247.50
-66.00,469.50,249.00
-76.50,465.00,250.50
-67.50,460.50,249.00
-63.00,471.00,249.00
-69.00,460.50,247.50
-64.50,463.50,247.50
-66.00,468.00,252.00
-66.00,466.50,247.50
-66.00,463.50,256.50
-61.50,478.50,249.00
-75.00,466.50,253.50
-66.00,460.50,246.00
-64.50,468.00,253.50
-69.00,466.50,249.00
-72.00,466.50,246.00
-79.50,471.00,253.50
-96.00,481.50,247.50
-93.00,469.50,243.00
-99.00,481.50,255.00
-96.00,465.00,250.50
-93.00,465.00,246.00
-91.50,469.50,246.00
-87.00,477.00,246.00
-90.00,472.50,252.00
-93.00,480.00,247.50
-87.00,474.00,249.00
-85.50,468.00,243.00
-88.50,475.50,247.50
-81.00,468.00,252.00
-63.00,471.00,255.00
-55.50,475.50,261.00
-52.50,471.00,256.50
-49.50,468.00,252.00
-46.50,474.00,258.00
-52.50,472.50,255.00
-52.50,475.50,259.50
-45.00,487.50,264.00
-31.50,,258.00
-21.00,463.50,253.50
-21.00,463.50,258.00
-21.00,462.00,256.50
-18.00,462.00,252.00
-21.00,460.50,264.00
-25.50,475.50,250.50
-30.00,465.00,253.50
-24.00,466.50,253.50
-24.00,474.00,258.00
-24.00,465.00,247.50
-18.00,,
-22.50,475.50,255.00
-24.00,462.00,258.00
-22.50,469.50,256.50
-25.50,472.50,256.50
-21.00,465.00,258.00
