
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag Y: 268.50
Mag Z: 120.00


Mag X: 61.50
Mag Y: 262.50
Mag Z: 117.00


Mag X: 60.00
Mag Y: 261.00
Mag Z: 112.50


Mag X: 58.50
Mag Y: 274.50
Mag Z: 114.00


Mag X: 63.00
Mag Y: 267.00
Mag Z: 103.50


Mag X: 66.00
Mag Y: 262.50
Mag Z: 99.00


Mag X: 55.50
Mag Y: 273.00
Mag Z: 100.50


Mag X: 64.50
Mag Y: 262.50
Mag Z: 91.50


Mag X: 70.50
Mag Y: 261.00
Mag Z: 85.50


Mag X: 73.50
Mag Y: 273.00
Mag Z: 82.50


Mag X: 69.00
Mag Y: 265.50
Mag Z: 67.50


Mag X: 70.50
Mag Y: 270.00
Mag Z: 64.50


Mag X: 64.50
Mag Y: 280.50
Mag Z: 46.50


Mag X: 52.50
Mag Y: 273.00
Mag Z: 31.50


Mag X: 58.50
Mag Y: 285.00
Mag Z: 19.50


Mag X: 45.00
Mag Y: 288.00
Mag Z: 16.50


Mag X: 51.00
Mag Y: 280.50
Mag Z: 4.50


Mag X: 42.00
Mag Y: 277.50
Mag Z: 1.50


Mag X: 30.00
Mag Y: 285.00
Mag Z: -9.00


Mag X: 24.00
Mag Y: 279.00
Mag Z: -27.00


Mag X: 15.00
Mag Y: 282.00
Mag Z: -24.00


Mag X: 12.00
Mag Y: 292.50
Mag Z: -33.00


Mag X: 13.50
Mag Y: 274.50
Mag Z: -39.00


Mag X: 3.00
Mag Y: 286.50
Mag Z: -60.00


Mag X: 4.50
Mag Y: 277.50
Mag Z: -70.50


Mag X: 7.50
Mag Y: 271.50
Mag Z: -82.50


Mag X: -1.50
Mag Y: 283.50
Mag Z: -73.50


Mag X: 4.50
Mag Y: 282.00
Mag Z: -84.00


Mag X: 7.50
Mag Y: 268.50
Mag Z: -84.00


Mag X: 3.00
Mag Y: 277.50
Mag Z: -81.00


Mag X: 7.50
Mag Y: 280.50
Mag Z: -78.00


Mag X: 6.00
Mag Y: 274.50
Mag Z: -84.00


Mag X: 1.50
Mag Y: 283.50
Mag Z: -82.50


Mag X: 3.00
Mag Y: 286.50
Mag Z: -78.00


Mag X: 3.00
Mag Y: 273.00
Mag Z: -88.50


Mag X: 4.50
Mag Y: 280.50
Mag Z: -79.50


Mag X: 3.00
Mag Z: -78.00


Mag X: 4.50
Mag Y: 280.50
Mag Z: -88.50


Mag X: 1.50


Mag X: 1.50
Mag Y: 283.50
Mag Z: -78.00


Mag X: -6.00
Mag Y: 273.00
Mag Z: -82.50


Mag X: 9.00
Mag Y: 280.50
Mag Z: -69.00


Mag X: -12.00
Mag Y: 285.00
Mag Z: -51.00


Mag X: -13.50
Mag Y: 282.00
Mag Z: -49.50


Mag X: -12.00
Mag Y: 279.00
Mag Z: -66.00


Mag X: -15.00
Mag Y: 289.50
Mag Z: -81.00


Mag X: -18.00
Mag Y: 270.00
Mag Z: -82.50


Mag X: -4.50
Mag Y: 288.00
Mag Z: -82.50


Mag X: -15.00
Mag Y: 270.00
Mag Z: -85.50


Mag X: -10.50
Mag Y: 279.00
Mag Z: -81.00


Mag X: -12.00
Mag Y: 285.00
Mag Z: -79.50


Mag X: -15.00
Mag Y: 279.00
Mag Z: -87.00


Mag X: -6.00
Mag Y: 277.50
Mag Z: -84.00


Mag X: -12.00
Mag Y: 283.50
Mag Z: -72.00


Mag X: -13.50
Mag Y: 285.00
Mag Z: -85.50


Mag X: -9.00
Mag Y: 276.00
Mag Z: -84.00


Mag X: -13.50
Mag Y: 285.00
Mag Z: -70.50


Mag X: -18.00
Mag Y: 280.50
Mag Z: -82.50


Mag X: -16.50
Mag Y: 271.50
Mag Z: -82.50


Mag X: -16.50
Mag Y: 283.50
Mag Z: -79.50


Mag X: -10.50
Mag Y: 276.00
Mag Z: -84.00


Mag X: -9.00
Mag Y: 273.00
Mag Z: -82.50


Mag X: -7.50
Mag Y: 282.00
Mag Z: -78.00


Mag X: -15.00
Mag Y: 276.00
Mag Z: -87.00


Mag X: -16.50
Mag Y: 280.50
Mag Z: -84.00


Mag X: -12.00
Mag Y: 285.00
Mag Z: -81.00


Mag X: -10.50
Mag Y: 279.00
Mag Z: -87.00


Mag X: -6.00
Mag Y: 279.00
Mag Z: -88.50


Mag X: -16.50
Mag Y: 286.50
Mag Z: -82.50


Mag X: -9.00
Mag Y: 279.00
Mag Z: -88.50


Mag X: -12.00
Mag Y: 280.50
Mag Z: -81.00


Mag X: -12.00
Mag Y: 285.00
Mag Z: -76.50


Mag X: -7.50
Mag Y: 279.00
Mag Z: -87.00


Mag X: -15.00
Mag Y: 277.50
Mag Z: -73.50


Mag X: -18.00
Mag Y: 286.50
Mag Z: -79.50


Mag X: -10.50
Mag Y: 274.50
Mag Z: -84.00


Mag X: -6.00
Mag Y: 280.50
Mag Z: -75.00


Mag X: -13.50
Mag Y: 289.50
