Mag X,Mag Y,Mag Z
30,214.5,334.5
28.5,,334.5
31.5,216,334.5
28.5,219,336
24,219,339
31.5,217.5,333
31.5,213,331.5
30,211.5,336
33,216,331.5
31.5,216,334.5
22.5,219,333
27,217.5,334.5
27,214.5,337.5
30,217.5,337.5
31.5,213,328.5
172.5,213,321
160.5,219,325.5
166.5,213,319.5
166.5,210,319.5
169.5,213,312
162,,318
168,210,321
171,210,322.5
168,210,316.5
162,,327
166.5,217.5,322.5
165,213,318
171,213,318
163.5,208.5,322.5
160.5,213,315
175.5,210,318
268.5,208.5,223.5
274.5,,222
270,204,223.5
276,207,225
276,210,220.5
270,205.5,217.5
267,207,223.5
271.5,204,225
274.5,210,220.5
277.5,216,223.5
265.5,205.5,223.5
265.5,,223.5
273,202.5,228
273,207,228
273,198,222
265.5,,229.5
271.5,207,220.5
301.5,198,75
304.5,,75
304.5,202.5,70.5
297,196.5,76.5
306,202.5,70.5
306,202.5,73.5
301.5,202.5,75
300,202.5,79.5
301.5,198,76.5
301.5,198,76.5
309,,72
300,201,75
309,196.5,73.5
304.5,201,72
297,201,69
306,,75
303,201,73.5
303,195,75
303,199.5,78
306,,78
301.5,201,73.5
301.5,199.5,72
303,193.5,75
256.5,195,-72
265.5,193.5,-75
256.5,192,-75
258,190.5,-76.5
262.5,193.5,-73.5
256.5,199.5,-75
252,201,-78
258,193.5,-84
253.5,196.5,-84
255,196.5,-84
258,195,-85.5
261,192,-75
256.5,193.5,-79.5
264,193.5,-81
148.5,193.5,-204
138,,-211.5
145.5,190.5,-211.5
142.5,199.5,-205.5
145.5,196.5,-213
147,201,-214.5
144,,-208.5
145.5,202.5,-210
147,196.5,-207
139.5,202.5,-210
144,198,-210
147,198,-213
0,198,-267
3,201,-265.5
4.5,205.5,-262.5
1.5,202.5,-267
3,201,-270
3,204,-265.5
6,199.5,-268.5
4.5,207,-264
1.5,205.5,-268.5
-1.5,207,-264
-6,,-270
4.5,208.5,-264
4.5,,-265.5
3,204,-262.5
1.5,,-271.5
13.5,201,-264
7.5,204,-268.5
1.5,,-265.5
-1.5,199.5,-268.5
-132,207,-247.5
-130.5,211.5,-246
-135,211.5,-243
-139.5,,-243
-133.5,213,-246
-124.5,217.5,-247.5
-136.5,210,-249
-138,220.5,-249
-127.5,211.5,-253.5
-127.5,,-249
-129,208.5,-249
-135,211.5,
-136.5,211.5,-246
-141,208.5,-244.5
-136.5,211.5,-240
-135,211.5,-243
-229.5,217.5,-145.5
-228,225,-153
-223.5,216,-151.5
-231,219,-148.5
-223.5,216,-159
-223.5,217.5,-151.5
-223.5,220.5,-156
-229.5,226.5,-160.5
-228,223.5,-157.5
-222,225,-156
-226.5,220.5,-150
-222,223.5,-150
-231,219,-151.5
-225,223.5,-153
-228,222,-151.5
-232.5,223.5,-153
-225,,-162
-252,,-9
-252,223.5,-18
-256.5,225,-13.5
-252,225,-12
-250.5,220.5,-16.5
-255,223.5,-9
-252,223.5,-13.5
-256.5,226.5,-6
-250.5,226.5,-15
-247.5,229.5,-16.5
-252,222,-13.5
-255,226.5,-12
-259.5,,-10.5
-253.5,231,-6
-253.5,226.5,-7.5
-253.5,225,-7.5
-244.5,,-9
-256.5,226.5,-15
-256.5,223.5,-7.5
-253.5,226.5,-12
-253.5,225,-13.5
-256.5,228,-10.5
-253.5,225,-13.5
-256.5,225,-10.5
-253.5,229.5,-7.5
-258,229.5,-10.5
-253.5,232.5,-9
-220.5,232.5,136.5
-219,226.5,133.5
-223.5,231,129
-220.5,231,130.5
-216,229.5,132
-219,229.5,132
-208.5,231,130.5
-217.5,229.5,136.5
-216,228,133.5
-219,225,139.5
-217.5,228,136.5
-213,226.5,136.5
-222,225,127.5
-219,235.5,126
-223.5,228,127.5
-114,235.5,256.5
-112.5,231,252
-121.5,225,258
-123,231,258
-126,220.5,264
-118.5,229.5,253.5
-120,228,259.5
-123,,253.5
-120,225,256.5
-124.5,226.5,255
-121.5,223.5,258
-118.5,225,261
-118.5,225,256.5
-126,232.5,259.5
-126,226.5,255
28.5,223.5,330
25.5,225,331.5
33,214.5,
36,219,333
24,225,322.5
31.5,220.5,330
27,222,325.5
