Mag X,Mag Y,Mag Z,heading
31.5,289.5,336.0,84.64417495714481
30.0,295.5,336.0,84.89783474764181
28.5,289.5,336.0,85.15169523160512
30.0,,,
28.5,286.5,342.0,85.23635830927383
22.5,294.0,343.5,86.25235502523395
28.5,286.5,340.5,85.21547031183498
36.0,289.5,339.0,83.93821121127137
24.0,286.5,340.5,85.96819890192629
24.0,294.0,339.0,85.95041829672863
28.5,291.0,343.5,85.25706513147064
24.0,294.0,339.0,85.95041829672863
33.0,289.5,339.0,84.44005273669048
40.5,288.0,337.5,83.15722658736907
31.5,295.5,339.0,84.69129964522709
36.0,295.5,337.5,83.91147184580483
36.0,286.5,339.0,83.93821121127137
30.0,,340.5,84.96491532054334
31.5,292.5,334.5,84.62029840087459
31.5,292.5,343.5,84.76045631457076
30.0,,346.5,85.05166624997564
30.0,288.0,351.0,85.1147974318827
27.0,286.5,343.5,85.50564234736801
30.0,289.5,343.5,85.00866674247548
30.0,283.5,343.5,85.00866674247548
28.5,285.0,334.5,85.1300582837189
25.5,289.5,337.5,85.67919504501553
31.5,288.0,339.0,84.69129964522709
30.0,,333.0,84.8521151758637
24.0,294.0,331.5,85.85911399648015
33.0,289.5,334.5,84.36573334423261
36.0,289.5,337.5,83.91147184580483
27.0,285.0,339.0,85.44623202084138
25.5,292.5,340.5,85.71712153475387
27.0,291.0,339.0,85.44623202084138
22.5,285.0,342.0,86.23596513509428
24.0,291.0,340.5,85.96819890192629
28.5,285.0,342.0,85.23635830927383
213.0,297.0,270.0,51.73048393461565
214.5,295.5,265.5,51.064922445447955
211.5,289.5,268.5,51.77215996611356
213.0,288.0,271.5,51.88473808738763
219.0,286.5,273.0,51.263490614334536
216.0,295.5,268.5,51.18439123389422
213.0,289.5,268.5,51.57516970197403
211.5,294.0,270.0,51.927218126009166
213.0,297.0,265.5,51.261326304302216
216.0,,274.5,51.80131482398158
208.5,295.5,270.0,52.3238825058246
213.0,291.0,271.5,51.88473808738763
216.0,295.5,274.5,51.80131482398158
214.5,292.5,268.5,51.37924816761314
216.0,298.5,268.5,51.18439123389422
205.5,288.0,271.5,52.87769967186683
213.0,291.0,265.5,51.261326304302216
213.0,288.0,261.0,50.78239232236404
207.0,288.0,267.0,52.21426203920676
210.0,288.0,267.0,51.81435288940975
210.0,289.5,262.5,51.34019174590991
214.5,292.5,264.0,50.906141113770495
