Mag X	Mag Y	Mag Z		
-193.5	672	-18	91.5	270
-192	664.5	-16.5	93	271.5
-196.5	673.5	-12	88.5	276
-186	670.5	-13.5	99	274.5
-192	660	-13.5	93	274.5
-183	667.5	-9	102	279
-193.5	673.5		91.5	288
-195	670.5	-9	90	279
-195	676.5	-15	90	273
-190.5	663	-21	94.5	267
-193.5	673.5	-16.5	91.5	271.5
-198	666	-21	87	267
-186	660	-15	99	273
-187.5	672	-15	97.5	273
-189	667.5	-13.5	96	274.5
-190.5	658.5	-13.5	94.5	274.5
-187.5	669	-7.5	97.5	280.5
-187.5	667.5	-10.5	97.5	277.5
-184.5	664.5	-7.5	100.5	280.5
-172.5	673.5	9	112.5	297
-163.5	667.5		121.5	288
-150			135	288
-144	679.5	27	141	315
-144	675	39	141	327
-145.5	681	39	139.5	327
-138	678	43.5	147	331.5
-108	688.5	61.5	177	349.5
-100.5			184.5	288
-99	670.5	72	186	360
-88.5	678	73.5	196.5	361.5
-76.5	685.5	75	208.5	363
-78	672	69	207	357
-60	678	73.5	225	361.5
-58.5	684	73.5	226.5	361.5
-58.5	681	73.5	226.5	361.5
-63	687	72	222	360
-55.5	676.5	69	229.5	357
-43.5	678	78	241.5	366
-43.5	687	64.5	241.5	352.5
-37.5	676.5	69	247.5	357
-45	687	70.5	240	358.5
-46.5	685.5	70.5	238.5	358.5
-48	679.5	72	237	360
-36	688.5	66	249	354
-30	685.5	66	255	354
-27	679.5	66	258	354
-21	687	61.5	264	349.5
-19.5	681	58.5	265.5	346.5
-18	682.5	54	267	342
-16.5	687	45	268.5	333
-10.5	678	39	274.5	327
1.5	684	30	286.5	318
-15	684	27	270	315
-7.5	681	13.5	277.5	301.5
-4.5	687	15	280.5	303
-4.5	685.5	6	280.5	294
-9	685.5	-6	276	282
-1.5	687	-12	283.5	276
-9	679.5	-21	276	267
-7.5	691.5	-16.5	277.5	271.5
-9	684	-25.5	276	262.5
-9	687	-43.5	276	244.5
-7.5	688.5	-46.5	277.5	241.5
-10.5	684	-67.5	274.5	220.5
-19.5	691.5	-70.5	265.5	217.5
-16.5	687	-75	268.5	213
-21	691.5	-81	264	207
-24	688.5	-90	261	198
-22.5	691.5	-94.5	262.5	193.5
-37.5	690	-114	247.5	174
-33	684	-118.5	252	169.5
-46.5	690	-124.5	238.5	163.5
-49.5	688.5	-121.5	235.5	166.5
-40.5	696	-118.5	244.5	169.5
-28.5	690	-121.5	256.5	166.5
-30	685.5	-112.5	255	175.5
-22.5	691.5	-114	262.5	174
-21	682.5	-114	264	174
-18	684	-108	267	180
-13.5	685.5	-100.5	271.5	187.5
-10.5	685.5	-100.5	274.5	187.5
-10.5	684	-108	274.5	180
-3	690		282	288
1.5	682.5	-109.5	286.5	178.5
22.5	679.5	-96	307.5	192
13.5	678	-99	298.5	189
24	682.5	-102	309	186
