Mag X,Mag Y,Mag Z
31.50,289.50,336.00
30.00,295.50,336.00
28.50,289.50,336.00
30.00,,
28.50,286.50,342.00
22.50,294.00,343.50
28.50,286.50,340.50
36.00,289.50,339.00
24.00,286.50,340.50
24.00,294.00,339.00
28.50,291.00,343.50
24.00,294.00,339.00
33.00,289.50,339.00
40.50,288.00,337.50
31.50,295.50,339.00
36.00,295.50,337.50
36.00,286.50,339.00
30.00,,340.50
31.50,292.50,334.50
31.50,292.50,343.50
30.00,,346.50
30.00,288.00,351.00
27.00,286.50,343.50
30.00,289.50,343.50
30.00,283.50,343.50
28.50,285.00,334.50
25.50,289.50,337.50
31.50,288.00,339.00
30.00,,333.00
24.00,294.00,331.50
33.00,289.50,334.50
36.00,289.50,337.50
27.00,285.00,339.00
25.50,292.50,340.50
27.00,291.00,339.00
22.50,285.00,342.00
24.00,291.00,340.50
28.50,285.00,342.00
213.00,297.00,270.00
214.50,295.50,265.50
211.50,289.50,268.50
213.00,288.00,271.50
219.00,286.50,273.00
216.00,295.50,268.50
213.00,289.50,268.50
211.50,294.00,270.00
213.00,297.00,265.50
216.00,,274.50
208.50,295.50,270.00
213.00,291.00,271.50
216.00,295.50,274.50
214.50,292.50,268.50
216.00,298.50,268.50
205.50,288.00,271.50
213.00,291.00,265.50
213.00,288.00,261.00
207.00,288.00,267.00
210.00,288.00,267.00
210.00,289.50,262.50
214.50,292.50,264.00
211.50,291.00,270.00
213.00,291.00,268.50
210.00,292.50,273.00
208.50,289.50,267.00
214.50,291.00,273.00
210.00,289.50,270.00
211.50,292.50,273.00
205.50,294.00,267.00
216.00,294.00,271.50
210.00,289.50,268.50
211.50,292.50,271.50
210.00,295.50,264.00
216.00,288.00,270.00
213.00,294.00,274.50
214.50,292.50,273.00
207.00,288.00,267.00
213.00,292.50,276.00
208.50,286.50,276.00
214.50,286.50,271.50
210.00,294.00,270.00
213.00,289.50,271.50
211.50,291.00,267.00
217.50,298.50,267.00
207.00,294.00,265.50
208.50,295.50,267.00
213.00,,267.00
217.50,288.00,270.00
216.00,288.00,265.50
211.50,286.50,273.00
210.00,295.50,271.50
210.00,291.00,271.50
213.00,292.50,267.00
210.00,294.00,274.50
216.00,291.00,268.50
213.00,295.50,264.00
208.50,295.50,265.50
211.50,297.00,261.00
210.00,,261.00
213.00,294.00,264.00
208.50,291.00,271.50
210.00,295.50,271.50
211.50,292.50,274.50
207.00,301.50,271.50
216.00,297.00,271.50
210.00,292.50,271.50
213.00,291.00,265.50
213.00,295.50,265.50
214.50,297.00,271.50
220.50,292.50,265.50
211.50,292.50,267.00
216.00,295.50,271.50
219.00,294.00,268.50
292.50,300.00,127.50
292.50,297.00,124.50
297.00,,124.50
292.50,294.00,129.00
294.00,309.00,135.00
288.00,,132.00
295.50,307.50,135.00
292.50,303.00,123.00
292.50,,129.00
288.00,303.00,130.50
300.00,297.00,126.00
289.50,,127.50
291.00,298.50,123.00
300.00,301.50,126.00
286.50,297.00,129.00
294.00,303.00,130.50
291.00,,133.50
291.00,304.50,132.00
288.00,301.50,136.50
295.50,300.00,136.50
289.50,301.50,133.50
291.00,303.00,136.50
295.50,303.00,129.00
291.00,306.00,127.50
300.00,306.00,130.50
295.50,301.50,
291.00,301.50,132.00
291.00,298.50,127.50
294.00,,139.50
292.50,304.50,133.50
291.00,307.50,129.00
295.50,300.00,127.50
297.00,,130.50
291.00,295.50,127.50
291.00,294.00,126.00
297.00,301.50,129.00
295.50,309.00,127.50
297.00,301.50,127.50
289.50,,124.50
300.00,298.50,130.50
292.50,301.50,132.00
295.50,304.50,135.00
295.50,297.00,130.50
298.50,307.50,136.50
295.50,294.00,133.50
294.00,303.00,133.50
300.00,301.50,133.50
291.00,301.50,130.50
295.50,298.50,126.00
