Mag X,Mag Y,Mag Z
-337.5,675,-525
-346.5,670.5,-522
-331.5,666,-519
-333,672,-522
-331.5,675,-514.5
-336,675,-505.5
-346.5,685.5,-502.5
-354,672,-486
-354,675,-477
-366,685.5,-468
-375,678,-453
-388.5,672,-441
-403.5,687,-435
-405,682.5,-429
-411,679.5,-426
-427.5,679.5,-400.5
-442.5,675,-382.5
-447,682.5,-382.5
-445.5,681,-363
-457.5,690,-337.5
-468,691.5,-316.5
-466.5,694.5,-306
-474,690,-292.5
-480,705,-274.5
-475.5,699,-256.5
-481.5,697.5,-229.5
-489,702,-228
-492,691.5,-273
-499.5,688.5,-288
-513,678,-334.5
-507,663,-340.5
-517.5,670.5,-331.5
-516,681,-301.5
-513,658.5,-331.5
-526.5,661.5,-322.5
-516,667.5,-325.5
-516,660,-321
-522,666,-330
-513,663,-322.5
-520.5,675,-300
-522,672,-336
-510,666,-334.5
-516,664.5,-333
-523.5,673.5,-340.5
-510,663,-342
-511.5,666,-337.5
-519,675,-340.5
-516,664.5,-343.5
-513,666,-342
-514.5,672,-339
-510,663,-337.5
-526.5,664.5,-342
-520.5,670.5,-342
-519,669,-342
-516,676.5,-343.5
-520.5,664.5,-343.5
-514.5,667.5,-337.5
-520.5,669,-342
-513,667.5,-345
-516,669,-340.5
-522,,
-519,669,-345
-513,664.5,-354
-523.5,672,-345
-516,664.5,-337.5
-528,673.5,-319.5
-523.5,673.5,-312
-525,673.5,-310.5
-520.5,676.5,-328.5
-510,675,-334.5
-489,676.5,-316.5
-469.5,681,-313.5
-435,682.5,-306
-421.5,669,-286.5
-424.5,678,-273
-415.5,681,-258
-412.5,675,-246
-411,681,-234
-403.5,666,-213
-406.5,670.5,-204
-402,676.5,-183
-402,672,-169.5
-393,664.5,-171
-388.5,670.5,-159
-388.5,666,-139.5
-391.5,673.5,-124.5
-384,670.5,-114
-375,666,-88.5
-378,667.5,-66
-372,664.5,-58.5
-366,655.5,-55.5
-364.5,666,-40.5
-363,660,-31.5
-364.5,658.5,-22.5
-357,660,-9
-352.5,663,-4.5
