Mag X,Mag Y,Mag Z
-300.00,,-118.50
-300.00,,-121.50
-295.50,240.00,-121.50
-300.00,,-123.00
-301.50,237.00,-124.50
-297.00,247.50,-121.50
-298.50,247.50,-121.50
-295.50,243.00,-114.00
-294.00,243.00,-114.00
-295.50,238.50,-124.50
-306.00,247.50,-121.50
-268.50,234.00,-169.50
-181.50,225.00,-247.50
-103.50,225.00,-280.50
-78.00,225.00,-288.00
-9.00,229.50,-294.00
87.00,226.50,-276.00
178.50,237.00,-219.00
229.50,238.50,-172.50
267.00,249.00,-91.50
265.50,253.50,-63.00
276.00,246.00,-60.00
276.00,247.50,-63.00
283.50,,-31.50
268.50,256.50,52.50
250.50,264.00,127.50
207.00,277.50,187.50
180.00,282.00,222.00
108.00,283.50,264.00
64.50,285.00,274.50
24.00,282.00,289.50
1.50,283.50,292.50
4.50,286.50,297.00
4.50,286.50,295.50
6.00,288.00,286.50
1.50,288.00,295.50
7.50,,288.00
1.50,280.50,289.50
-1.50,,289.50
6.00,280.50,294.00
57.00,,282.00
103.50,285.00,264.00
115.50,280.50,265.50
111.00,282.00,262.50
145.50,,
189.00,277.50,211.50
228.00,271.50,169.50
261.00,268.50,126.00
265.50,264.00,90.00
277.50,255.00,57.00
286.50,252.00,22.50
285.00,,
279.00,249.00,-36.00
270.00,243.00,-76.50
250.50,244.50,-136.50
216.00,232.50,-181.50
196.50,,-198.00
174.00,240.00,-228.00
153.00,229.50,-243.00
109.50,229.50,-261.00
66.00,225.00,-286.50
21.00,226.50,-294.00
-33.00,,
-96.00,,-279.00
-135.00,223.50,-270.00
-144.00,225.00,-273.00
-183.00,229.50,-252.00
-217.50,237.00,-226.50
-249.00,234.00,-196.50
-265.50,235.50,-171.00
-274.50,238.50,-160.50
-276.00,237.00,-157.50
-298.50,244.50,-114.00
-307.50,,-79.50
-313.50,244.50,-58.50
-319.50,250.50,-55.50
-316.50,,
-321.00,256.50,-1.50
-324.00,265.50,25.50
-318.00,256.50,24.00
-313.50,,67.50
-310.50,268.50,99.00
-292.50,271.50,138.00
-273.00,271.50,153.00
-265.50,273.00,175.50
-261.00,274.50,184.50
-226.50,280.50,211.50
-193.50,285.00,243.00
-163.50,285.00,256.50
-126.00,286.50,279.00
-90.00,283.50,285.00
-63.00,294.00,289.50
-55.50,286.50,297.00
-7.50,289.50,291.00
34.50,286.50,285.00
109.50,,261.00
102.00,280.50,259.50
111.00,279.00,262.50
106.50,274.50,267.00
109.50,279.00,268.50
106.50,282.00,270.00
106.50,276.00,270.00
106.50,283.50,271.50
106.50,280.50,264.00
108.00,277.50,265.50
102.00,283.50,270.00
109.50,277.50,274.50
115.50,279.00,270.00
109.50,,265.50
117.00,277.50,268.50
102.00,282.00,267.00
103.50,279.00,267.00
106.50,285.00,268.50
108.00,282.00,276.00
106.50,276.00,268.50
109.50,273.00,273.00
100.50,279.00,262.50
111.00,276.00,264.00
102.00,279.00,265.50
105.00,277.50,267.00
112.50,279.00,267.00
111.00,280.50,261.00
111.00,283.50,267.00
111.00,279.00,267.00
106.50,280.50,259.50
106.50,277.50,271.50
108.00,283.50,273.00
111.00,276.00,267.00
105.00,280.50,268.50
111.00,280.50,261.00
109.50,276.00,264.00
108.00,283.50,265.50
109.50,277.50,270.00
111.00,280.50,267.00
111.00,277.50,271.50
108.00,271.50,270.00
106.50,277.50,264.00
112.50,282.00,273.00
105.00,279.00,268.50
111.00,280.50,268.50
112.50,276.00,268.50
114.00,283.50,268.50
102.00,282.00,268.50
108.00,277.50,268.50
108.00,276.00,264.00
151.50,273.00,238.50
168.00,271.50,232.50
228.00,268.50,172.50
250.50,,133.50
274.50,252.00,70.50
285.00,259.50,24.00
288.00,247.50,-25.50
276.00,240.00,-70.50
270.00,237.00,-105.00
247.50,241.50,-157.50
216.00,235.50,-189.00
183.00,232.50,-214.50
145.50,232.50,-247.50
124.50,223.50,-255.00
79.50,232.50,-276.00
12.00,220.50,-294.00
-19.50,,-295.50
-55.50,219.00,-295.50
-84.00,220.50,-289.50
-133.50,222.00,-276.00
-163.50,228.00,-264.00
-166.50,226.50,-261.00
-211.50,234.00,-229.50
-253.50,235.50,-187.50
-288.00,238.50,-130.50
-309.00,,-73.50
-315.00,253.50,-31.50
-315.00,250.50,-13.50
-325.50,253.50,-21.00
-321.00,253.50,-1.50
-321.00,264.00,49.50
-313.50,267.00,88.50
-309.00,261.00,90.00
-309.00,265.50,88.50
-310.50,265.50,85.50
-288.00,273.00,141.00
-262.50,274.50,177.00
-228.00,279.00,211.50
-226.50,279.00,214.50
-229.50,277.50,213.00
-189.00,283.50,246.00
-195.00,280.50,247.50
-190.50,277.50,244.50
-187.50,283.50,243.00
-186.00,283.50,250.50
-195.00,280.50,246.00
-136.50,288.00,268.50
-79.50,288.00,282.00
-24.00,288.00,292.50
28.50,286.50,289.50
76.50,286.50,279.00
84.00,280.50,276.00
106.50,280.50,261.00
156.00,,235.50
202.50,274.50,195.00
205.50,268.50,193.50
234.00,264.00,154.50
259.50,264.00,112.50
265.50,262.50,73.50
270.00,,24.00
280.50,247.50,-22.50
279.00,252.00,-48.00
268.50,,-97.50
241.50,237.00,-150.00
226.50,231.00,-189.00
205.50,229.50,-207.00
196.50,228.00,-214.50
145.50,220.50,-259.50
112.50,229.50,-268.50
108.00,229.50,-267.00
73.50,223.50,-285.00
42.00,,-288.00
6.00,225.00,-294.00
-10.50,222.00,-295.50
-93.00,222.00,-283.50
-138.00,,-267.00
-217.50,,-223.50
-246.00,238.50,-207.00
-277.50,238.50,-168.00
-301.50,249.00,-112.50
-322.50,243.00,-64.50
-319.50,261.00,-7.50
-316.50,259.50,37.50
-319.50,262.50,45.00
-303.00,262.50,99.00
-274.50,267.00,156.00
-249.00,276.00,199.50
-219.00,276.00,228.00
-196.50,,237.00
-159.00,282.00,265.50
-103.50,288.00,276.00
-60.00,289.50,285.00
-46.50,,289.50
-67.50,,280.50
-172.50,282.00,255.00
-234.00,,210.00
-267.00,273.00,187.50
-313.50,259.50,73.50
-319.50,247.50,-57.00
-288.00,235.50,-132.00
-255.00,238.50,-192.00
-189.00,222.00,-252.00
-111.00,220.50,-285.00
-18.00,219.00,-300.00
58.50,225.00,-288.00
90.00,226.50,-277.50
172.50,231.00,-232.50
223.50,228.00,-192.00
261.00,238.50,-127.50
279.00,247.50,-60.00
286.50,252.00,9.00
265.50,259.50,106.50
210.00,268.50,192.00
163.50,274.50,240.00
100.50,279.00,267.00
54.00,,286.50
10.50,277.50,
-40.50,286.50,292.50
-73.50,277.50,289.50
-84.00,276.00,291.00
-147.00,276.00,274.50
-229.50,271.50,220.50
-265.50,270.00,178.50
-273.00,268.50,165.00
-304.50,261.00,118.50
-294.00,267.00,100.50
-304.50,267.00,105.00
-301.50,270.00,105.00
-300.00,,102.00
-304.50,264.00,106.50
-301.50,,108.00
-303.00,264.00,106.50
-310.50,259.50,108.00
-303.00,,
-307.50,262.50,105.00
-298.50,267.00,106.50
-304.50,264.00,105.00
-301.50,265.50,103.50
-303.00,265.50,106.50
-307.50,264.00,106.50
-295.50,262.50,111.00
-315.00,261.00,51.00
-324.00,262.50,1.50
-321.00,244.50,-57.00
-310.50,249.00,-84.00
-307.50,247.50,-96.00
-298.50,244.50,-130.50
-268.50,229.50,-174.00
-249.00,232.50,-198.00
-213.00,234.00,-222.00
-189.00,229.50,-237.00
-151.50,223.50,-265.50
-106.50,,-280.50
-48.00,223.50,-297.00
