Mag X	Mag Y	Mag Z			
-388.5	645	-679.5		-111.5	-370.5
-388.5	654	-672		-111.5	-363
-397.5	660	-664.5		-120.5	-355.5
-390	652.5	-681		-113	-372
-391.5	655.5	-678		-114.5	-369
-390	664.5	-672		-113	-363
-391.5	660	-663		-114.5	-354
-393				-116	309
-391.5	655.5	-666		-114.5	-357
-393	655.5	-670.5		-116	-361.5
-396	655.5	-664.5		-119	-355.5
-400.5	654	-646.5		-123.5	-337.5
-400.5	664.5	-633		-123.5	-324
-399	675	-591		-122	-282
-397.5	673.5	-574.5		-120.5	-265.5
-402	670.5	-576		-125	-267
-402	663	-586.5		-125	-277.5
-399		-589.5		-122	-280.5
-396	666	-582		-119	-273
-406.5	666	-591		-129.5	-282
-399	670.5	-595.5		-122	-286.5
-391.5	678	-579		-114.5	-270
-400.5	672	-586.5		-123.5	-277.5
-394.5	667.5	-583.5		-117.5	-274.5
-393	675	-583.5		-116	-274.5
-405	676.5	-579		-128	-270
-400.5	664.5	-580.5		-123.5	-271.5
-397.5	669	-583.5		-120.5	-274.5
-400.5	673.5	-577.5		-123.5	-268.5
-397.5	667.5	-580.5		-120.5	-271.5
-402	661.5	-582		-125	-273
-399	672	-580.5		-122	-271.5
-399	666	-583.5		-122	-274.5
-402	672	-591		-125	-282
-393	672	-586.5		-116	-277.5
-400.5	669	-577.5		-123.5	-268.5
-385.5	669	-573		-108.5	-264
-363				-86	309
-340.5	672	-618		-63.5	-309
-343.5	667.5	-589.5		-66.5	-280.5
-336	675	-573		-59	-264
-342	682.5	-546		-65	-237
-343.5	673.5	-528		-66.5	-219
-348	670.5	-525		-71	-216
-354	663	-513		-77	-204
-360	664.5	-501		-83	-192
-357	669	-495		-80	-186
-360	664.5	-495		-83	-186
-378	661.5	-475.5		-101	-166.5
-391.5	661.5	-465		-114.5	-156
-402	660	-451.5		-125	-142.5
-403.5	664.5	-454.5		-126.5	-145.5
-414	667.5	-457.5		-137	-148.5
-415.5	661.5	-451.5		-138.5	-142.5
-444	657	-450		-167	-141
-457.5	663	-459		-180.5	-150
-463.5	663	-433.5		-186.5	-124.5
-475.5	676.5	-412.5		-198.5	-103.5
-472.5	670.5	-405		-195.5	-96
-483	679.5	-397.5		-206	-88.5
-486	679.5	-397.5		-209	-88.5
-490.5	679.5	-379.5		-213.5	-70.5
-495				-218	309
-496.5	676.5	-385.5		-219.5	-76.5
-505.5	675	-378		-228.5	-69
-514.5	682.5	-369		-237.5	-60
-513	670.5	-367.5		-236	-58.5
-516	673.5	-364.5		-239	-55.5
-531	673.5	-345		-254	-36
-531	669	-349.5		-254	-40.5
-534	666	-343.5		-257	-34.5
-531	672	-345		-254	-36
-532.5	670.5	-337.5		-255.5	-28.5
-529.5	690	-343.5		-252.5	-34.5
-522	688.5	-343.5		-245	-34.5
-531	682.5	-346.5		-254	-37.5
-529.5	682.5	-342		-252.5	-33
-532.5	684	-348		-255.5	-39
-529.5	685.5	-348		-252.5	-39
-525	685.5	-340.5		-248	-31.5
-526.5	685.5	-339		-249.5	-30
-529.5	681	-345		-252.5	-36
-531	681	-342		-254	-33
-532.5	687	-339		-255.5	-30
-517.5	682.5	-334.5		-240.5	-25.5
-525	682.5	-339		-248	-30
-529.5	675	-339		-252.5	-30
-520.5	681	-337.5		-243.5	-28.5
-528	678	-348		-251	-39
-528	681	-345		-251	-36
-526.5	679.5	-343.5		-249.5	-34.5
-525	685.5	-348		-248	-39
-529.5	679.5			-252.5	309
-522	673.5	-340.5		-245	-31.5
-534	679.5	-343.5		-257	-34.5
-523.5	684	-346.5		-246.5	-37.5
-528	676.5	-349.5		-251	-40.5
-531	676.5	-349.5		-254	-40.5
-529.5	678	-342		-252.5	-33
-522	679.5	-346.5		-245	-37.5
-529.5	681	-340.5		-252.5	-31.5
-520.5	681	-343.5		-243.5	-34.5
-531	685.5	-349.5		-254	-40.5
-525	684	-346.5		-248	-37.5
-522	678	-345		-245	-36
-525	685.5	-339		-248	-30
-526.5	681	-345		-249.5	-36
-528	679.5	-352.5		-251	-43.5
-532.5	684	-348		-255.5	-39
-532.5		-351		-255.5	-42
-540	682.5	-349.5		-263	-40.5
-525	679.5	-345		-248	-36
-535.5	679.5	-348		-258.5	-39
-528	690	-349.5		-251	-40.5
-528	675	-343.5		-251	-34.5
-523.5	675	-340.5		-246.5	-31.5
-529.5	682.5	-346.5		-252.5	-37.5
-528	679.5	-348		-251	-39
