Mag X,Mag Y,Mag Z
-90.00,376.50,252.00
-151.50,381.00,234.00
-153.00,382.50,231.00
-150.00,378.00,232.50
-156.00,378.00,219.00
-153.00,381.00,225.00
-156.00,379.50,231.00
-154.50,378.00,223.50
-169.50,379.50,213.00
-205.50,379.50,184.50
-223.50,385.50,154.50
-243.00,376.50,123.00
-240.00,381.00,123.00
-241.50,388.50,127.50
-240.00,378.00,130.50
-243.00,387.00,124.50
-244.50,381.00,124.50
-243.00,381.00,127.50
-252.00,,127.50
-250.50,385.50,124.50
-244.50,,124.50
-244.50,384.00,127.50
-249.00,,124.50
-244.50,378.00,124.50
-252.00,381.00,103.50
-259.50,382.50,66.00
-258.00,,13.50
-247.50,384.00,-24.00
-237.00,,-69.00
-211.50,388.50,-97.50
-196.50,388.50,-120.00
-162.00,390.00,-150.00
-136.50,385.50,-163.50
-90.00,385.50,-186.00
-54.00,393.00,-192.00
-36.00,390.00,-187.50
-37.50,382.50,-193.50
-46.50,391.50,-195.00
-66.00,387.00,-192.00
-93.00,393.00,-187.50
-118.50,388.50,-177.00
-135.00,385.50,-166.50
-156.00,387.00,-156.00
-166.50,,-150.00
-184.50,396.00,-136.50
-189.00,391.50,-130.50
-190.50,387.00,-126.00
-196.50,384.00,-123.00
-217.50,379.50,-109.50
-231.00,381.00,-85.50
-237.00,382.50,-70.50
-249.00,388.50,-45.00
-252.00,385.50,-18.00
-261.00,384.00,12.00
-262.50,385.50,46.50
-259.50,385.50,69.00
-253.50,,87.00
-253.50,378.00,91.50
-246.00,387.00,126.00
-228.00,387.00,157.50
-222.00,384.00,160.50
-226.50,382.50,162.00
-225.00,376.50,154.50
-196.50,378.00,195.00
-168.00,379.50,216.00
-142.50,382.50,238.50
-114.00,384.00,249.00
-66.00,381.00,265.50
-36.00,379.50,264.00
-37.50,384.00,262.50
15.00,378.00,258.00
57.00,382.50,252.00
57.00,375.00,250.50
54.00,382.50,252.00
55.50,384.00,249.00
57.00,378.00,249.00
67.50,381.00,255.00
70.50,379.50,247.50
121.50,382.50,219.00
156.00,379.50,183.00
183.00,384.00,156.00
183.00,379.50,147.00
184.50,,151.50
204.00,,133.50
220.50,381.00,76.50
213.00,378.00,10.50
213.00,390.00,-22.50
202.50,384.00,-48.00
190.50,387.00,-58.50
168.00,382.50,-106.50
147.00,393.00,-133.50
132.00,391.50,-148.50
90.00,385.50,-177.00
36.00,,-190.50
9.00,384.00,-193.50
-30.00,385.50,-196.50
-76.50,385.50,-192.00
-70.50,387.00,-195.00
-30.00,382.50,-199.50
7.50,390.00,-196.50
42.00,384.00,-187.50
70.50,387.00,-175.50
90.00,390.00,-175.50
127.50,388.50,-154.50
165.00,388.50,-120.00
190.50,,-63.00
210.00,384.00,0.00
214.50,385.50,
210.00,384.00,72.00
207.00,379.50,100.50
187.50,384.00,139.50
171.00,381.00,154.50
157.50,379.50,184.50
160.50,375.00,186.00
115.50,384.00,222.00
84.00,378.00,240.00
64.50,,247.50
46.50,379.50,246.00
31.50,384.00,259.50
16.50,381.00,253.50
4.50,378.00,265.50
-10.50,382.50,262.50
-37.50,,264.00
-36.00,384.00,261.00
-54.00,381.00,259.50
-88.50,378.00,255.00
-109.50,375.00,247.50
-130.50,,235.50
-147.00,,237.00
-148.50,382.50,232.50
-169.50,379.50,214.50
-177.00,376.50,211.50
-183.00,384.00,204.00
-180.00,378.00,205.50
-180.00,381.00,208.50
-181.50,373.50,213.00
-174.00,379.50,211.50
-184.50,378.00,204.00
-181.50,381.00,205.50
-186.00,381.00,216.00
-177.00,,207.00
-177.00,376.50,208.50
-177.00,384.00,207.00
-175.50,382.50,205.50
-177.00,378.00,207.00
-166.50,385.50,214.50
-180.00,381.00,214.50
-183.00,,
-180.00,379.50,205.50
-178.50,387.00,213.00
-181.50,385.50,
-172.50,375.00,210.00
-186.00,376.50,213.00
-180.00,384.00,210.00
-180.00,384.00,208.50
-180.00,388.50,211.50
-195.00,,
-199.50,382.50,190.50
-207.00,382.50,183.00
-217.50,379.50,169.50
-222.00,,154.50
-232.50,387.00,145.50
-238.50,381.00,147.00
-232.50,382.50,145.50
-234.00,381.00,151.50
-234.00,381.00,157.50
-229.50,382.50,151.50
-234.00,384.00,150.00
-228.00,379.50,147.00
-234.00,379.50,145.50
-238.50,381.00,
-250.50,379.50,121.50
-259.50,382.50,84.00
-262.50,384.00,64.50
-259.50,384.00,31.50
-259.50,387.00,31.50
-261.00,385.50,
-258.00,385.50,3.00
-241.50,379.50,-45.00
-246.00,384.00,-58.50
-228.00,378.00,-75.00
-211.50,385.50,-105.00
-190.50,388.50,-126.00
-166.50,382.50,-150.00
-138.00,382.50,-171.00
-103.50,,-181.50
-63.00,393.00,-192.00
-43.50,385.50,-193.50
-15.00,387.00,-196.50
-15.00,388.50,-198.00
-18.00,393.00,-195.00
