187.5	294	249
186		246
184.5	292.5	252
177	291	253.5
184.5	295.5	249
183	298.5	252
177	291	253.5
183	292.5	253.5
186	298.5	258
181.5	298.5	250.5
178.5	298.5	247.5
189	300	252
180	298.5	246
186	289.5	256.5
180	280.5	264
177	274.5	265.5
178.5	268.5	268.5
171	276	265.5
177	271.5	267
178.5	276	267
177	274.5	267
175.5	279	264
174	270	264
186		
181.5	277.5	267
184.5	271.5	268.5
181.5	273	264
195	280.5	268.5
184.5	277.5	265.5
183	283.5	267
187.5	279	261
189	280.5	256.5
166.5	303	262.5
153	327	244.5
132	339	249
108	354	249
87	352.5	247.5
64.5	355.5	246
40.5	354	249
6	348	252
-36	336	246
-37.5	325.5	255
-64.5	325.5	253.5
-78	309	252
-111	291	256.5
-123	277.5	256.5
-159	232.5	255
-180	235.5	249
-187.5	205.5	253.5
-186	205.5	253.5
-187.5	201	249
-184.5	207	
-189	202.5	244.5
-187.5	202.5	250.5
-211.5	171	249
-217.5	151.5	249
-225	127.5	249
-237	106.5	244.5
-232.5	90	243
-237	91.5	247.5
-250.5	57	244.5
-253.5	13.5	249
-255	4.5	238.5
-252	-33	241.5
-243	-60	241.5
-229.5	-85.5	244.5
-228	-114	240
-217.5	-132	235.5
-217.5	-139.5	237
-220.5	-150	234
-222	-142.5	240
-201	-175.5	231
-184.5	-184.5	231
-195	-181.5	237
-178.5	-192	244.5
-118.5	-225	235.5
-88.5	-243	226.5
-61.5	-244.5	231
-42	-250.5	226.5
-3	-244.5	222
-15	-256.5	217.5
-6	-255	225
-9	-247.5	222
-1.5	-253.5	219
-7.5	-247.5	223.5
-1.5	-243	223.5
13.5	-232.5	234
40.5	-217.5	237
54	-214.5	237
46.5	-211.5	237
49.5	-213	244.5
58.5	-207	235.5
85.5	-193.5	238.5
96	-180	241.5
124.5	-166.5	244.5
144	-153	241.5
157.5	-132	241.5
163.5	-123	241.5
184.5	-93	241.5
189	-88.5	240
195	-88.5	240
220.5	-49.5	246
228	-13.5	243
246	22.5	243
247.5	46.5	249
247.5	72	247.5
246	93	255
247.5	124.5	247.5
241.5	150	252
240	166.5	255
228	187.5	259.5
223.5	198	268.5
219	229.5	268.5
205.5	246	258
202.5	253.5	264
192	273	261
187.5	277.5	262.5
177	283.5	258
168	288	262.5
174	292.5	262.5
162	300	252
157.5	297	256.5
162	295.5	259.5
171	295.5	261
163.5	294	264
166.5	289.5	262.5
160.5	297	259.5
163.5	306	256.5
166.5	300	255
162	306	259.5
177	309	255
174	309	249
165	312	258
177	304.5	253.5
163.5	315	253.5
132	331.5	249
97.5	349.5	247.5
67.5	349.5	258
46.5	354	255
19.5	351	250.5
-7.5	342	252
-30	330	253.5
-46.5	319.5	249
-49.5	324	252
-31.5	330	252
-3	342	249
36	349.5	256.5
64.5	351	253.5
93	348	246
118.5	337.5	252
126	334.5	246
144	324	
151.5	321	252
150	319.5	253.5
160.5	315	261
163.5	309	252
163.5	312	261
159	312	255
159	309	259.5
165	307.5	252
169.5	307.5	255
186	300	252
198	280.5	252
223.5	250.5	247.5
217.5	256.5	253.5
208.5	253.5	253.5
216	247.5	256.5
213	253.5	253.5
222	249	
228	240	249
241.5		244.5
252	186	250.5
247.5	159	246
253.5	133.5	241.5
252	112.5	240
246	81	243
252	78	243
250.5	39	240
238.5	16.5	246
231	-3	240
229.5	-9	241.5
235.5	-9	243
229.5	-21	241.5
225	-27	243
216	-40.5	238.5
208.5	-66	244.5
183	-111	235.5
183	-94.5	238.5
184.5	-106.5	234
160.5	-138	235.5
145.5	-154.5	234
126	-171	235.5
112.5	-184.5	231
94.5	-199.5	232.5
67.5	-219	235.5
46.5	-216	237
31.5	-213	241.5
18	-216	243
-10.5	-223.5	240
-36	-223.5	246
-57	-223.5	241.5
-78	-226.5	244.5
-87	-217.5	238.5
-78	-219	244.5
-85.5	-231	247.5
-84	-223.5	241.5
-84	-219	244.5
-90	-217.5	244.5
-102	-219	241.5
-121.5	-211.5	243
-153	-201	246
-168	-186	244.5
-186	-175.5	241.5
-190.5	-174	237
-202.5	-153	237
-220.5	-130.5	244.5
-231	-114	249
-235.5	-81	243
-241.5	-42	249
-238.5	-22.5	249
-238.5	4.5	250.5
-240	27	252
-238.5	36	
-237	45	256.5
-231	42	256.5
-238.5	49.5	247.5
-226.5	96	262.5
-211.5	123	261
-211.5	135	268.5
-192	162	265.5
-171	193.5	
-171	213	259.5
-150	231	265.5
-126	265.5	265.5
-106.5	279	258
-90	289.5	259.5
-88.5	298.5	262.5
-93	297	264
-91.5	294	265.5
-81	286.5	261
-75	303	268.5
-45	310.5	259.5
-48	316.5	267
-40.5	312	265.5
-33		256.5
-30	319.5	265.5
-28.5	325.5	258
9	330	268.5
46.5	339	259.5
82.5		264
105	327	268.5
93	327	264
97.5	322.5	270
94.5	310.5	268.5
69	327	264
33	324	270
-9	313.5	271.5
-54	297	271.5
-91.5	273	273
-129	246	270
-157.5	213	268.5
-193.5	184.5	265.5
-210	144	261
-225	99	255
-229.5	70.5	
-238.5	31.5	247.5
-237	31.5	255
-240	36	250.5
-243	4.5	243
-244.5	-36	240
-237	-60	246
-225	-120	237
-225	-126	238.5
-240	-130.5	229.5
-231	-127.5	228
-201	-180	222
-169.5	-216	225
-154.5	-220.5	226.5
-157.5	-213	220.5
-150	-208.5	231
-159	-207	226.5
-151.5	-213	
-117	-235.5	228
-72	-240	235.5
-42	-244.5	237
-22.5	-244.5	229.5
18	-231	228
48	-223.5	235.5
43.5	-217.5	
45	-229.5	222
39	-225	228
51	-226.5	
72	-211.5	237
120	-183	231
148.5	-144	232.5
184.5	-112.5	231
208.5	-63	237
234	-16.5	232.5
234	18	
238.5	33	247.5
240	30	249
250.5	88.5	250.5
240	130.5	
231	168	256.5
217.5	208.5	264
205.5	244.5	259.5
171	274.5	267
142.5	303	268.5
82.5	318	276
67.5	319.5	270
70.5	322.5	273
67.5	313.5	273
72	318	265.5
67.5	328.5	270
19.5	334.5	265.5
-18	325.5	268.5
-49.5	310.5	267
-73.5	297	258
-108	268.5	264
-132	253.5	259.5
-157.5	232.5	
-181.5	193.5	256.5
-205.5	157.5	261
-226.5	109.5	252
-234	63	256.5
-232.5	39	250.5
-237	-1.5	246
-235.5	-34.5	252
-228	-67.5	249
-235.5	-70.5	247.5
-235.5	-67.5	252
-229.5	-73.5	244.5
-229.5	-100.5	246
-190.5	-163.5	243
-139.5	-202.5	244.5
-96	-222	237
-49.5	-235.5	241.5
-13.5	-231	237
16.5	-225	235.5
46.5	-217.5	237
54	-225	225
55.5	-231	229.5
48	-228	225
46.5	-223.5	231
55.5	-229.5	229.5
45	-232.5	216
49.5	-219	220.5
58.5	-225	225
52.5	-226.5	232.5
55.5	-226.5	226.5
51	-223.5	225
54	-225	226.5
52.5	-222	225
61.5	-217.5	231
100.5	-186	237
159	-129	240
199.5	-88.5	241.5
225	-33	246
252	69	241.5
250.5	136.5	249
240	187.5	250.5
225	234	250.5
198	271.5	259.5
166.5	292.5	259.5
142.5	309	265.5
118.5	316.5	
106.5	313.5	265.5
66	322.5	268.5
43.5	324	270
30	318	268.5
28.5	324	268.5
34.5	330	259.5
72	327	264
136.5	315	270
183	289.5	255
211.5	250.5	259.5
231	196.5	258
249	148.5	250.5
252	76.5	246
243	27	241.5
228	-33	235.5
214.5	-64.5	238.5
189	-109.5	229.5
189	-118.5	229.5
169.5	-147	223.5
108	-202.5	226.5
85.5	-213	223.5
13.5	-232.5	225
-42	-237	237
-87	-232.5	232.5
