Mag X	Mag Y	Mag Z
229.5	760.5	982.5
226.5	762	987
223.5	753	988.5
225	757.5	987
219	760.5	982.5
223.5	757.5	981
220.5	759	981
225	766.5	988.5
223.5	759	985.5
220.5	762	988.5
225	760.5	981
226.5	751.5	987
225	756	984
217.5	757.5	984
223.5	756	
220.5	762	984
220.5	760.5	987
216	756	985.5
226.5	750	988.5
222	756	987
222	757.5	
207		885
189	762	852
189		
169.5	757.5	759
145.5	756	717
129	762	673.5
90	762	628.5
64.5	762	586.5
25.5	766.5	543
0	772.5	537
-18	771	534
-15	760.5	525
-12	768	531
-15	771	528
-12	769.5	526.5
-7.5	769.5	532.5
-1.5	768	526.5
0	771	531
-9	765	528
-4.5		525
-3		526.5
-6	772.5	531
-4.5		531
-7.5	774	534
-1.5		526.5
-3	769.5	531
-1.5	771	534
-4.5	775.5	535.5
-3		
