Mag X,Mag Y,Mag Z
-108.00,325.50,265.50
-72.00,324.00,271.50
-22.50,328.50,276.00
,327.00,279.00
24.00,,279.00
39.00,322.50,273.00
40.50,,279.00
81.00,319.50,271.50
114.00,321.00,249.00
127.50,319.50,244.50
138.00,322.50,241.50
156.00,322.50,222.00
169.50,322.50,213.00
187.50,312.00,207.00
199.50,,
219.00,,163.50
232.50,310.50,138.00
241.50,324.00,115.50
246.00,,102.00
252.00,307.50,88.50
250.50,318.00,70.50
255.00,318.00,43.50
264.00,319.50,45.00
252.00,316.50,-16.50
250.50,,-34.50
249.00,312.00,-36.00
246.00,318.00,-79.50
220.50,316.50,-124.50
183.00,318.00,-165.00
157.50,,
142.50,321.00,-193.50
118.50,322.50,-202.50
79.50,310.50,-229.50
43.50,,-229.50
9.00,,-231.00
-40.50,325.50,-237.00
-75.00,325.50,-234.00
-73.50,328.50,-232.50
-49.50,324.00,-235.50
-16.50,318.00,-237.00
24.00,322.50,-240.00
76.50,319.50,-231.00
144.00,321.00,-198.00
198.00,321.00,-151.50
234.00,319.50,-100.50
246.00,315.00,-61.50
256.50,312.00,-18.00
265.50,322.50,33.00
238.50,318.00,112.50
205.50,316.50,172.50
160.50,321.00,222.00
151.50,325.50,231.00
145.50,319.50,226.50
121.50,319.50,244.50
90.00,325.50,255.00
55.50,327.00,270.00
-9.00,,280.50
-61.50,,
-124.50,327.00,249.00
-178.50,336.00,226.50
-214.50,330.00,190.50
-243.00,331.50,154.50
-268.50,330.00,100.50
-276.00,331.50,54.00
-286.50,331.50,-4.50
-273.00,334.50,-49.50
-262.50,328.50,-85.50
-244.50,,-114.00
-235.50,,-132.00
-235.50,,-135.00
-232.50,330.00,-130.50
-234.00,328.50,-130.50
-237.00,,-138.00
-219.00,330.00,-157.50
-193.50,324.00,-174.00
-168.00,322.50,-195.00
-144.00,330.00,-214.50
-102.00,330.00,-228.00
-61.50,,
-33.00,321.00,-240.00
-12.00,327.00,-241.50
13.50,,-243.00
24.00,318.00,-238.50
12.00,321.00,-240.00
-4.50,321.00,-238.50
-34.50,324.00,-243.00
-73.50,324.00,-238.50
-115.50,319.50,-222.00
-154.50,328.50,-204.00
-184.50,325.50,-180.00
-214.50,,-150.00
-244.50,324.00,-129.00
-261.00,322.50,-79.50
-280.50,331.50,-19.50
-277.50,333.00,61.50
-262.50,340.50,99.00
-235.50,334.50,159.00
-190.50,339.00,207.00
-150.00,337.50,237.00
-88.50,334.50,258.00
-12.00,337.50,271.50
55.50,330.00,259.50
96.00,333.00,246.00
93.00,325.50,250.50
139.50,327.00,225.00
186.00,324.00,196.50
204.00,322.50,168.00
219.00,324.00,142.50
