Bad GPS CRC

Command:
Command: IIS2MDC Calibrate




















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW


Mag Z: 1068.00


Mag X: -10.50
Mag Y: 780.00
Mag Z: 1095.00


Mag X: 4.50
Mag Y: 777.00
Mag Z: 1101.00


Mag X: 18.00
Mag Z: 1120.50


Mag X: 22.50
Mag Y: 772.50
Mag Z: 1132.50


Mag X: 27.00
Mag Y: 771.00
Mag Z: 1144.50


Mag X: 37.50
Mag Y: 774.00
Mag Z: 1164.00


Mag X: 54.00
Mag Z: 1177.50


Mag X: 61.50
Mag Y: 774.00
Mag Z: 1186.50


Mag X: 76.50
Mag Y: 772.50
Mag Z: 1203.00


Mag X: 79.50
Mag Y: 769.50
Mag Z: 1213.50


Mag X: 111.00
Mag Y: 760.50
Mag Z: 1221.00


Mag X: 118.50
Mag Z: 1231.50


Mag X: 127.50
Mag Y: 771.00
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1239.00


Mag X: 144.00
Mag Y: 756.00
Mag Z: 1239.00


Mag X: 150.00
Mag Y: 763.50
Mag Z: 1243.50


Mag X: 147.00
Mag Y: 766.50
Mag Z: 1236.00


Mag X: 157.50
Mag Y: 765.00
Mag Z: 1242.00


Mag X: 163.50
Mag Y: 769.50
Mag Z: 1240.50


Mag X: 162.00
Mag Y: 760.50
Mag Z: 1236.00


Mag X: 166.50
Mag Y: 760.50
Mag Z: 1233.00


Mag X: 165.00
Mag Y: 765.00
Mag Z: 1237.50


Mag X: 159.00
Mag Y: 768.00
Mag Z: 1240.50


Mag X: 163.50
Mag Y: 757.50
Mag Z: 1233.00


Mag X: 168.00
Mag Y: 763.50
Mag Z: 1239.00


Mag X: 160.50
Mag Y: 766.50
Mag Z: 1239.00


Mag X: 157.50
Mag Y: 762.00
Mag Z: 1242.00


Mag X: 151.50
Mag Y: 763.50
Mag Z: 1258.50


Mag X: 138.00
Mag Y: 754.50
Mag Z: 1252.50


Mag X: 135.00
Mag Y: 760.50
Mag Z: 1248.00


Mag X: 124.50
Mag Z: 1236.00


Mag X: 130.50
Mag Y: 768.00
Mag Z: 1233.00


Mag X: 132.00
Mag Y: 762.00
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 769.50
Mag Z: 1236.00


Mag X: 129.00
Mag Y: 760.50
Mag Z: 1234.50


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1230.00


Mag X: 132.00
Mag Z: 1233.00


Mag X: 136.50
Mag Y: 771.00
Mag Z: 1234.50


Mag X: 126.00
Mag Y: 769.50
Mag Z: 1234.50


Mag X: 130.50
Mag Y: 766.50
Mag Z: 1231.50


Mag X: 135.00
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 132.00
Mag Y: 769.50
Mag Z: 1233.00


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 133.50
Mag Y: 763.50
Mag Z: 1231.50


Mag X: 136.50
Mag Y: 769.50
Mag Z: 1234.50


Mag X: 126.00
Mag Y: 768.00
Mag Z: 1245.00


Mag X: 136.50
Mag Y: 771.00
Mag Z: 1230.00


Mag X: 135.00
Mag Y: 762.00
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1239.00


Mag X: 135.00
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 130.50
Mag Y: 759.00
Mag Z: 1239.00


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1239.00


Mag X: 133.50
Mag Y: 768.00
Mag Z: 1237.50


Mag X: 138.00
Mag Y: 762.00
Mag Z: 1231.50


Mag X: 133.50
Mag Y: 762.00
Mag Z: 1242.00


Mag X: 141.00
Mag Z: 1239.00


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 136.50
Mag Y: 765.00
Mag Z: 1236.00


Mag X: 130.50
Mag Y: 766.50
Mag Z: 1240.50


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1240.50


Mag X: 130.50
Mag Y: 760.50
Mag Z: 1237.50


Mag X: 133.50
Mag Y: 771.00
Mag Z: 1242.00


Mag X: 130.50
Mag Y: 768.00
Mag Z: 1242.00


Mag X: 126.00
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 135.00
Mag Y: 759.00
Mag Z: 1234.50


Mag X: 126.00
Mag Y: 760.50
Mag Z: 1237.50


Mag X: 130.50
Mag Y: 765.00
Mag Z: 1234.50


Mag X: 132.00
Mag Y: 771.00
Mag Z: 1239.00


Mag X: 141.00
Mag Y: 768.00
Mag Z: 1239.00


Mag X: 127.50
Mag Y: 769.50
Mag Z: 1237.50


Mag X: 124.50
Mag Y: 769.50
Mag Z: 1237.50


Mag X: 130.50
Mag Y: 763.50
Mag Z: 1233.00


Mag X: 136.50
Mag Y: 765.00
Mag Z: 1239.00


Mag X: 144.00
Mag Y: 768.00
Mag Z: 1237.50


Mag X: 141.00
Mag Y: 766.50
Mag Z: 1237.50


Mag X: 132.00
Mag Y: 765.00
Mag Z: 1234.50


Mag X: 136.50
Mag Y: 769.50
Mag Z: 1236.00


Mag X: 126.00
Mag Y: 772.50
Mag Z: 1242.00


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1231.50


Mag X: 135.00
Mag Y: 768.00
Mag Z: 1237.50


Mag X: 126.00
Mag Y: 768.00
Mag Z: 1234.50


Mag X: 127.50
Mag Y: 769.50
Mag Z: 1237.50


Mag X: 136.50
Mag Y: 768.00
Mag Z: 1243.50


Mag X: 132.00
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 124.50
Mag Y: 766.50
Mag Z: 1233.00


Mag X: 132.00
Mag Y: 768.00
Mag Z: 1237.50


Mag X: 135.00
Mag Y: 757.50
Mag Z: 1236.00


Mag X: 138.00
Mag Y: 769.50
Mag Z: 1233.00


Mag X: 129.00
Mag Y: 769.50
Mag Z: 1236.00


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1242.00


Mag X: 132.00
Mag Y: 765.00
Mag Z: 1233.00


Mag X: 129.00
Mag Y: 759.00
Mag Z: 1228.50


Mag X: 133.50
Mag Y: 760.50
Mag Z: 1237.50


Mag X: 127.50
Mag Y: 756.00
Mag Z: 1230.00


Mag X: 126.00
Mag Y: 762.00
Mag Z: 1230.00


Mag X: 127.50
Mag Y: 766.50
Mag Z: 1236.00


Mag X: 132.00
Mag Y: 768.00
Mag Z: 1236.00


Mag X: 126.00
Mag Z: 1236.00


Mag X: 124.50
Mag Y: 765.00
Mag Z: 1231.50


Mag X: 127.50
Mag Y: 762.00
Mag Z: 1240.50


Mag X: 130.50
Mag Z: 1236.00


Mag X: 129.00
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 135.00
Mag Y: 765.00
Mag Z: 1243.50


Mag X: 133.50
Mag Y: 768.00
Mag Z: 1240.50


Mag X: 136.50
Mag Y: 763.50
Mag Z: 1240.50


Mag X: 133.50
Mag Y: 766.50
Mag Z: 1236.00


Mag X: 133.50
Mag Y: 774.00
Mag Z: 1239.00


Mag X: 141.00
Mag Y: 766.50
Mag Z: 1245.00


Mag X: 141.00
Mag Y: 763.50
Mag Z: 1248.00


Mag X: 135.00


Mag X: 136.50
Mag Z: 1245.00


Mag X: 132.00
Mag Y: 762.00
Mag Z: 1237.50


Mag X: 132.00


Mag X: 132.00
Mag Y: 769.50
Mag Z: 1249.50


Mag X: 145.50
Mag Y: 763.50
Mag Z: 1248.00


Mag X: 138.00
Mag Y: 763.50
Mag Z: 1260.00


Mag X: 136.50
Mag Z: 1258.50


Mag X: 139.50
Mag Y: 766.50
Mag Z: 1254.00


Mag X: 136.50
Mag Y: 754.50
Mag Z: 1242.00


Mag X: 136.50
Mag Y: 769.50
Mag Z: 1251.00


Mag X: 142.50
Mag Y: 765.00
Mag Z: 1240.50


Mag X: 138.00
Mag Y: 759.00
Mag Z: 1248.00


Mag X: 139.50
Mag Y: 766.50
Mag Z: 1248.00


Mag X: 136.50
Mag Y: 766.50
Mag Z: 1245.00


Mag X: 135.00
Mag Y: 765.00
Mag Z: 1243.50


Mag X: 141.00
Mag Y: 763.50
Mag Z: 1243.50


Mag X: 135.00
Mag Y: 766.50
Mag Z: 1240.50


Mag X: 133.50
Mag Y: 765.00
Mag Z: 1246.50


Mag X: 132.00
Mag Y: 769.50
Mag Z: 1239.00


Mag X: 129.00
Mag Y: 763.50
Mag Z: 1242.00


Mag X: 138.00
Mag Y: 766.50
Mag Z: 1245.00


Mag X: 139.50
Mag Y: 762.00
Mag Z: 1248.00


Mag X: 138.00
Mag Y: 763.50
Mag Z: 1245.00


Mag X: 141.00
Mag Y: 760.50
Mag Z: 1243.50


Mag X: 135.00
Mag Y: 763.50
Mag Z: 1245.00


Mag X: 132.00
Mag Y: 765.00
Mag Z: 1242.00


