
Command:
Command: IIS2MDC Calibrate





















IIS2MDC Calibrating: Rotate TDC slowly 3x times about its center axis, pausing at exactly NSEW
16------------4

Mag X: -39.00
Mag Y: 619.50
Mag Z: -75.00


Mag X: -40.50
Mag Y: 615.00
Mag Z: -82.50


Mag X: -40.50
Mag Y: 619.50
Mag Z: -72.00


Mag X: -43.50
Mag Y: 622.50
Mag Z: -76.50


Mag X: -27.00
Mag Y: 618.00
Mag Z: -76.50


Mag X: -27.00
Mag Y: 619.50
Mag Z: -73.50


Mag X: -27.00
Mag Y: 613.50
Mag Z: -76.50


Mag X: -36.00
Mag Y: 613.50
Mag Z: -78.00


Mag X: -22.50
Mag Y: 618.00
Mag Z: -72.00


Mag X: -31.50
Mag Y: 616.50
Mag Z: -73.50


Mag X: -22.50
Mag Y: 619.50
Mag Z: -72.00


Mag X: -24.00
Mag Y: 621.00
Mag Z: -75.00


Mag X: -18.00
Mag Y: 624.00
Mag Z: -85.50


Mag X: -22.50
Mag Y: 619.50
Mag Z: -78.00


Mag X: -24.00
Mag Y: 627.00
Mag Z: -72.00


Mag X: -28.50
Mag Y: 618.00
Mag Z: -84.00


Mag X: -21.00
Mag Y: 618.00
Mag Z: -75.00


Mag X: -22.50
Mag Y: 624.00
Mag Z: -79.50


Mag X: -25.50
Mag Y: 615.00
Mag Z: -76.50


Mag X: -25.50
Mag Y: 618.00
Mag Z: -76.50


Mag X: -22.50
Mag Y: 616.50
Mag Z: -78.00


Mag X: -28.50
Mag Y: 612.00
Mag Z: -82.50


Mag X: -30.00
Mag Y: 621.00
Mag Z: -82.50


Mag X: -30.00
Mag Y: 621.00
Mag Z: -82.50


Mag X: -25.50
Mag Y: 618.00
Mag Z: -85.50


Mag X: -22.50
Mag Y: 618.00
Mag Z: -79.50


Mag X: -28.50
Mag Y: 619.50
Mag Z: -78.00


Mag X: -25.50
Mag Y: 616.50
Mag Z: -81.00


Mag X: -22.50
Mag Y: 627.00
Mag Z: -84.00


Mag X: -31.50
Mag Y: 616.50
Mag Z: -85.50


Mag X: -27.00
Mag Y: 625.50
Mag Z: -82.50


Mag X: -22.50
Mag Y: 625.50
Mag Z: -78.00


Mag X: -33.00
Mag Y: 615.00
Mag Z: -91.50


Mag X: -24.00
Mag Y: 619.50
Mag Z: -78.00


Mag X: -27.00
Mag Y: 624.00
Mag Z: -82.50


Mag X: -28.50
Mag Y: 618.00
Mag Z: -81.00


Mag X: -22.50
Mag Y: 616.50
Mag Z: -78.00


Mag X: -25.50
Mag Y: 621.00
Mag Z: -78.00


Mag X: -31.50
Mag Y: 618.00
Mag Z: -88.50


Mag X: -25.50
Mag Y: 613.50
Mag Z: -81.00


Mag X: -31.50
Mag Y: 616.50
Mag Z: -78.00


Mag X: -28.50
Mag Y: 616.50
Mag Z: -78.00


Mag X: -24.00
Mag Y: 619.50
Mag Z: -78.00


Mag X: -33.00
Mag Y: 625.50
Mag Z: -82.50


Mag X: -28.50
Mag Y: 615.00
Mag Z: -85.50


Mag X: -24.00
Mag Y: 625.50
Mag Z: -84.00


Mag X: -27.00
Mag Y: 619.50
Mag Z: -78.00


Mag X: -19.50
Mag Y: 615.00
Mag Z: -73.50


Mag X: -22.50
Mag Y: 630.00
Mag Z: -76.50


Mag X: -28.50
Mag Y: 625.50
Mag Z: -84.00


Mag X: -28.50
Mag Y: 615.00
Mag Z: -82.50


Mag X: -19.50
Mag Y: 619.50
Mag Z: -88.50


Mag X: -24.00
Mag Y: 627.00
Mag Z: -91.50


Mag X: -31.50
Mag Y: 625.50
Mag Z: -94.50


Mag X: -30.00
Mag Y: 631.50
Mag Z: -99.00


Mag X: -25.50
Mag Y: 624.00
Mag Z: -109.50


Mag X: -30.00
Mag Y: 633.00
Mag Z: -111.00


Mag X: -27.00
Mag Y: 630.00
Mag Z: -118.50


Mag X: -34.50
Mag Y: 627.00
Mag Z: -135.00


Mag X: -42.00
Mag Y: 636.00
Mag Z: -142.50


Mag X: -46.50
Mag Y: 633.00
Mag Z: -159.00


Mag X: -51.00
Mag Y: 627.00
Mag Z: -165.00


Mag X: -55.50
Mag Y: 639.00
Mag Z: -172.50


Mag X: -70.50
Mag Y: 634.50
Mag Z: -186.00


Mag X: -72.00
Mag Y: 628.50
Mag Z: -190.50


Mag X: -66.00
Mag Y: 640.50
Mag Z: -204.00


Mag X: -82.50
Mag Y: 637.50
Mag Z: -214.50


Mag X: -94.50
Mag Y: 639.00
Mag Z: -226.50


Mag X: -94.50
Mag Y: 634.50
Mag Z: -231.00
Bad GPS CRC


Mag X: -100.50
Mag Y: 636.00
Mag Z: -237.00


Mag X: -100.50
Mag Y: 637.50
Mag Z: -240.00


Mag X: -109.50
Mag Y: 643.50
Mag Z: -267.00


Mag X: -124.50
Mag Y: 637.50
Mag Z: -285.00


Mag X: -135.00
Mag Y: 643.50
Mag Z: -310.50


Mag X: -148.50
Mag Y: 640.50
Mag Z: -337.50


Mag X: -154.50
Mag Y: 642.00
Mag Z: -333.00


Mag X: -148.50
Mag Y: 643.50
Mag Z: -333.00


Mag X: -154.50
Mag Y: 645.00
Mag Z: -337.50


Mag X: -166.50
Mag Y: 639.00
Mag Z: -355.50


Mag X: -178.50
Mag Y: 651.00
Mag Z: -385.50


Mag X: -189.00
Mag Y: 643.50
Mag Z: -391.50


Mag X: -189.00
Mag Y: 643.50
Mag Z: -396.00


Mag X: -204.00
Mag Y: 646.50
Mag Z: -405.00


Mag X: -216.00
Mag Y: 640.50
Mag Z: -426.00


Mag X: -225.00
Mag Y: 652.50
Mag Z: -429.00


Mag X: -228.00
Mag Z: -438.00


Mag X: -243.00
Mag Y: 648.00
Mag Z: -447.00


Mag X: -256.50
Mag Y: 654.00
Mag Z: -466.50


Mag X: -264.00
Mag Y: 655.50
Mag Z: -460.50


Mag X: -271.50
Mag Y: 654.00
Mag Z: -468.00


Mag X: -274.50
Mag Y: 648.00
Mag Z: -465.00


Mag X: -294.00
Mag Y: 649.50
Mag Z: -489.00


Mag X: -318.00
Mag Y: 651.00
Mag Z: -513.00


Mag X: -328.50
Mag Y: 651.00
Mag Z: -513.00


Mag X: -336.00
Mag Y: 646.50
Mag Z: -507.00


Mag X: -345.00
Mag Y: 649.50
Mag Z: -514.50


Mag X: -358.50
Mag Y: 655.50
Mag Z: -523.50


Mag X: -366.00
Mag Y: 654.00
Mag Z: -529.50


Mag X: -369.00
Mag Y: 654.00
Mag Z: -561.00


Mag X: -378.00
Mag Y: 658.50
Mag Z: -561.00


Mag X: -379.50
Mag Y: 652.50
Mag Z: -574.50


Mag X: -396.00
Mag Y: 649.50
Mag Z: -562.50


Mag X: -406.50
Mag Y: 657.00
Mag Z: -561.00


Mag X: -403.50
Mag Y: 651.00
Mag Z: -553.50


Mag X: -426.00
Mag Y: 658.50
Mag Z: -547.50


Mag X: -426.00
Mag Y: 651.00
Mag Z: -540.00


Mag X: -430.50
Mag Y: 655.50
Mag Z: -547.50


Mag X: -427.50
Mag Y: 657.00
Mag Z: -547.50


Mag X: -429.00
Mag Y: 639.00
Mag Z: -615.00


Mag X: -424.50
Mag Y: 651.00
Mag Z: -588.00


Mag X: -421.50
Mag Y: 658.50
Mag Z: -577.50


Mag X: -421.50
Mag Y: 660.00
Mag Z: -553.50


Mag X: -411.00
Mag Y: 657.00
Mag Z: -556.50


Mag X: -415.50
Mag Y: 663.00
Mag Z: -564.00


Mag X: -412.50
Mag Y: 655.50
Mag Z: -556.50


Mag X: -415.50
Mag Y: 658.50
Mag Z: -568.50


Mag X: -421.50
Mag Y: 657.00
Mag Z: -582.00


Mag X: -424.50
Mag Y: 658.50
Mag Z: -576.00


Mag X: -420.00
Mag Y: 661.50
Mag Z: -571.50


Mag X: -418.50
Mag Y: 658.50
Mag Z: -573.00


Mag X: -417.00
Mag Y: 655.50
Mag Z: -562.50


Mag X: -423.00
Mag Y: 654.00
Mag Z: -573.00


Mag X: -421.50
Mag Y: 657.00
Mag Z: -577.50


Mag X: -429.00
Mag Y: 652.50
Mag Z: -573.00


Mag X: -420.00
Mag Y: 661.50
Mag Z: -574.50


Mag X: -420.00
Mag Y: 657.00
Mag Z: -571.50


Mag X: -412.50
Mag Y: 658.50
Mag Z: -576.00


Mag X: -415.50
Mag Y: 654.00
Mag Z: -574.50


Mag X: -417.00
Mag Y: 663.00
Mag Z: -576.00


Mag X: -400.50
Mag Y: 658.50
Mag Z: -618.00


Mag X: -406.50
Mag Y: 661.50
Mag Z: -612.00


Mag X: -402.00
Mag Y: 660.00
Mag Z: -610.50


Mag X: -400.50
Mag Y: 663.00
Mag Z: -615.00


Mag X: -403.50
Mag Y: 658.50
Mag Z: -615.00


Mag X: -399.00
Mag Y: 663.00
Mag Z: -615.00


Mag X: -400.50
Mag Y: 658.50
Mag Z: -613.50


Mag X: -399.00
Mag Y: 655.50
Mag Z: -615.00


Mag X: -394.50
Mag Y: 660.00
Mag Z: -613.50


Mag X: -399.00
Mag Y: 669.00
Mag Z: -615.00


Mag X: -397.50
Mag Y: 663.00
Mag Z: -613.50


Mag X: -406.50
Mag Y: 655.50
Mag Z: -616.50


Mag X: -399.00
Mag Y: 661.50
Mag Z: -624.00


Mag X: -400.50
Mag Y: 658.50


Mag X: -396.00
Mag Y: 663.00
Mag Z: -622.50


Mag X: -402.00
Mag Y: 661.50
Mag Z: -613.50


Mag X: -394.50
Mag Y: 661.50
Mag Z: -607.50


Mag X: -402.00
Mag Y: 661.50
Mag Z: -612.00


Mag X: -397.50
Mag Y: 663.00
Mag Z: -616.50


Mag X: -400.50
Mag Y: 657.00
Mag Z: -615.00


Mag X: -400.50
Mag Y: 666.00
Mag Z: -621.00


Mag X: -396.00
Mag Y: 657.00
Mag Z: -613.50


Mag X: -399.00
Mag Y: 660.00
Mag Z: -619.50


Mag X: -399.00
Mag Y: 660.00
Mag Z: -615.00


Mag X: -403.50
Mag Y: 664.50
Mag Z: -618.00


Mag X: -402.00
Mag Y: 658.50
Mag Z: -616.50


Mag X: -403.50
Mag Y: 663.00
Mag Z: -618.00


Mag X: -402.00
Mag Y: 658.50
Mag Z: -612.00


Mag X: -409.50
Mag Y: 660.00
Mag Z: -615.00


Mag X: -405.00
Mag Y: 664.50
Mag Z: -619.50


Mag X: -406.50
Mag Y: 660.00
Mag Z: -612.00


Mag X: -400.50
Mag Y: 657.00
Mag Z: -615.00


Mag X: -405.00


Mag X: -399.00
Mag Y: 660.00
Mag Z: -615.00


Mag X: -405.00
Mag Y: 663.00
Mag Z: -619.50


Mag X: -403.50
Mag Y: 660.00
Mag Z: -613.50


Mag X: -399.00
Mag Y: 654.00
Mag Z: -613.50


Mag X: -400.50
Mag Y: 655.50
Mag Z: -622.50


Mag X: -408.00
Mag Y: 663.00
Mag Z: -613.50


Mag X: -406.50
Mag Y: 663.00
Mag Z: -615.00


Mag X: -409.50
Mag Y: 663.00
Mag Z: -619.50


Mag X: -405.00
Mag Y: 660.00
Mag Z: -616.50


Mag X: -397.50
Mag Y: 660.00
