Mag X,Mag Y,Mag Z
19.50,316.50,-246.00
27.00,313.50,-253.50
27.00,316.50,-247.50
25.50,321.00,-249.00
27.00,318.00,-246.00
30.00,315.00,-247.50
19.50,316.50,-247.50
27.00,321.00,-243.00
30.00,316.50,-244.50
30.00,318.00,-247.50
28.50,321.00,-244.50
18.00,316.50,-243.00
30.00,315.00,-247.50
24.00,312.00,-246.00
33.00,310.50,-247.50
28.50,316.50,-243.00
22.50,315.00,-238.50
27.00,312.00,-246.00
25.50,312.00,-246.00
31.50,318.00,-249.00
27.00,316.50,-246.00
19.50,319.50,-249.00
27.00,316.50,-244.50
22.50,322.50,-243.00
28.50,,-246.00
25.50,309.00,-249.00
22.50,309.00,-253.50
-12.00,312.00,-258.00
-37.50,307.50,-255.00
-82.50,312.00,-243.00
-132.00,318.00,-232.50
-172.50,316.50,-204.00
-222.00,322.50,-156.00
-250.50,324.00,-112.50
-268.50,319.50,-78.00
-277.50,319.50,-34.50
-282.00,325.50,-18.00
-285.00,334.50,13.50
-280.50,328.50,31.50
-280.50,324.00,45.00
-276.00,330.00,64.50
-270.00,330.00,91.50
-265.50,331.50,102.00
-259.50,,121.50
-261.00,,121.50
-259.50,,124.50
-256.50,325.50,121.50
-250.50,,141.00
-225.00,333.00,177.00
-181.50,,226.50
-139.50,334.50,238.50
-118.50,331.50,255.00
-81.00,330.00,265.50
-64.50,328.50,274.50
-66.00,327.00,270.00
-52.50,,268.50
-9.00,,270.00
27.00,325.50,271.50
64.50,,264.00
94.50,328.50,252.00
129.00,324.00,237.00
150.00,321.00,225.00
168.00,328.50,210.00
186.00,324.00,198.00
189.00,321.00,199.50
184.50,322.50,187.50
189.00,324.00,198.00
190.50,324.00,193.50
189.00,324.00,193.50
190.50,315.00,187.50
207.00,322.50,166.50
228.00,325.50,138.00
240.00,318.00,111.00
247.50,322.50,96.00
252.00,316.50,67.50
267.00,321.00,40.50
264.00,316.50,13.50
267.00,318.00,-1.50
259.50,312.00,-19.50
252.00,312.00,-36.00
255.00,315.00,-52.50
244.50,316.50,-73.50
243.00,312.00,-85.50
237.00,319.50,-96.00
234.00,,-103.50
244.50,310.50,-99.00
241.50,316.50,-99.00
241.50,313.50,-94.50
240.00,309.00,-97.50
241.50,309.00,-94.50
240.00,315.00,-100.50
231.00,309.00,-127.50
202.50,310.50,-153.00
184.50,307.50,-177.00
168.00,,-195.00
150.00,318.00,-207.00
123.00,310.50,-217.50
108.00,307.50,-229.50
88.50,306.00,-237.00
64.50,313.50,-250.50
54.00,312.00,-250.50
33.00,307.50,-255.00
10.50,315.00,-253.50
-4.50,312.00,
-1.50,309.00,-256.50
-1.50,312.00,-246.00
-13.50,313.50,-250.50
-4.50,316.50,-255.00
-1.50,316.50,-252.00
-10.50,312.00,-253.50
-4.50,315.00,-250.50
-4.50,315.00,-252.00
-6.00,315.00,-253.50
-7.50,315.00,-256.50
