Mag X,Mag Y,Mag Z
187.50,249.00,294.00
186.00,246.00,
184.50,252.00,292.50
177.00,253.50,291.00
184.50,249.00,295.50
183.00,252.00,298.50
177.00,253.50,291.00
183.00,253.50,292.50
186.00,258.00,298.50
181.50,250.50,298.50
178.50,247.50,298.50
189.00,252.00,300.00
180.00,246.00,298.50
186.00,256.50,289.50
180.00,264.00,280.50
177.00,265.50,274.50
178.50,268.50,268.50
171.00,265.50,276.00
177.00,267.00,271.50
178.50,267.00,276.00
177.00,267.00,274.50
175.50,264.00,279.00
174.00,264.00,270.00
186.00,,
181.50,267.00,277.50
184.50,268.50,271.50
181.50,264.00,273.00
195.00,268.50,280.50
184.50,265.50,277.50
183.00,267.00,283.50
187.50,261.00,279.00
189.00,256.50,280.50
166.50,262.50,303.00
153.00,244.50,327.00
132.00,249.00,339.00
108.00,249.00,354.00
87.00,247.50,352.50
64.50,246.00,355.50
40.50,249.00,354.00
6.00,252.00,348.00
-36.00,246.00,336.00
-37.50,255.00,325.50
-64.50,253.50,325.50
-78.00,252.00,309.00
-111.00,256.50,291.00
-123.00,256.50,277.50
-159.00,255.00,232.50
-180.00,249.00,235.50
-187.50,253.50,205.50
-186.00,253.50,205.50
-187.50,249.00,201.00
-184.50,,207.00
-189.00,244.50,202.50
-187.50,250.50,202.50
-211.50,249.00,171.00
-217.50,249.00,151.50
-225.00,249.00,127.50
-237.00,244.50,106.50
-232.50,243.00,90.00
-237.00,247.50,91.50
-250.50,244.50,57.00
-253.50,249.00,13.50
-255.00,238.50,4.50
-252.00,241.50,-33.00
-243.00,241.50,-60.00
-229.50,244.50,-85.50
-228.00,240.00,-114.00
-217.50,235.50,-132.00
-217.50,237.00,-139.50
-220.50,234.00,-150.00
-222.00,240.00,-142.50
-201.00,231.00,-175.50
-184.50,231.00,-184.50
-195.00,237.00,-181.50
-178.50,244.50,-192.00
-118.50,235.50,-225.00
-88.50,226.50,-243.00
-61.50,231.00,-244.50
-42.00,226.50,-250.50
-3.00,222.00,-244.50
-15.00,217.50,-256.50
-6.00,225.00,-255.00
-9.00,222.00,-247.50
-1.50,219.00,-253.50
-7.50,223.50,-247.50
-1.50,223.50,-243.00
13.50,234.00,-232.50
40.50,237.00,-217.50
54.00,237.00,-214.50
46.50,237.00,-211.50
49.50,244.50,-213.00
58.50,235.50,-207.00
85.50,238.50,-193.50
96.00,241.50,-180.00
124.50,244.50,-166.50
144.00,241.50,-153.00
157.50,241.50,-132.00
163.50,241.50,-123.00
184.50,241.50,-93.00
189.00,240.00,-88.50
195.00,240.00,-88.50
220.50,246.00,-49.50
228.00,243.00,-13.50
246.00,243.00,22.50
247.50,249.00,46.50
247.50,247.50,72.00
246.00,255.00,93.00
247.50,247.50,124.50
241.50,252.00,150.00
240.00,255.00,166.50
228.00,259.50,187.50
223.50,268.50,198.00
219.00,268.50,229.50
205.50,258.00,246.00
202.50,264.00,253.50
192.00,261.00,273.00
187.50,262.50,277.50
177.00,258.00,283.50
168.00,262.50,288.00
174.00,262.50,292.50
162.00,252.00,300.00
157.50,256.50,297.00
162.00,259.50,295.50
171.00,261.00,295.50
163.50,264.00,294.00
166.50,262.50,289.50
160.50,259.50,297.00
163.50,256.50,306.00
166.50,255.00,300.00
162.00,259.50,306.00
177.00,255.00,309.00
174.00,249.00,309.00
165.00,258.00,312.00
177.00,253.50,304.50
163.50,253.50,315.00
132.00,249.00,331.50
97.50,247.50,349.50
67.50,258.00,349.50
46.50,255.00,354.00
19.50,250.50,351.00
-7.50,252.00,342.00
-30.00,253.50,330.00
-46.50,249.00,319.50
-49.50,252.00,324.00
-31.50,252.00,330.00
-3.00,249.00,342.00
36.00,256.50,349.50
64.50,253.50,351.00
93.00,246.00,348.00
118.50,252.00,337.50
126.00,246.00,334.50
144.00,,324.00
151.50,252.00,321.00
150.00,253.50,319.50
160.50,261.00,315.00
163.50,252.00,309.00
163.50,261.00,312.00
159.00,255.00,312.00
159.00,259.50,309.00
165.00,252.00,307.50
169.50,255.00,307.50
186.00,252.00,300.00
198.00,252.00,280.50
223.50,247.50,250.50
217.50,253.50,256.50
208.50,253.50,253.50
216.00,256.50,247.50
213.00,253.50,253.50
222.00,,249.00
228.00,249.00,240.00
241.50,244.50,
252.00,250.50,186.00
247.50,246.00,159.00
253.50,241.50,133.50
252.00,240.00,112.50
246.00,243.00,81.00
252.00,243.00,78.00
250.50,240.00,39.00
238.50,246.00,16.50
231.00,240.00,-3.00
229.50,241.50,-9.00
235.50,243.00,-9.00
229.50,241.50,-21.00
225.00,243.00,-27.00
216.00,238.50,-40.50
208.50,244.50,-66.00
183.00,235.50,-111.00
183.00,238.50,-94.50
184.50,234.00,-106.50
160.50,235.50,-138.00
145.50,234.00,-154.50
126.00,235.50,-171.00
112.50,231.00,-184.50
94.50,232.50,-199.50
67.50,235.50,-219.00
46.50,237.00,-216.00
31.50,241.50,-213.00
18.00,243.00,-216.00
-10.50,240.00,-223.50
-36.00,246.00,-223.50
-57.00,241.50,-223.50
-78.00,244.50,-226.50
-87.00,238.50,-217.50
-78.00,244.50,-219.00
-85.50,247.50,-231.00
-84.00,241.50,-223.50
-84.00,244.50,-219.00
-90.00,244.50,-217.50
-102.00,241.50,-219.00
-121.50,243.00,-211.50
-153.00,246.00,-201.00
-168.00,244.50,-186.00
-186.00,241.50,-175.50
-190.50,237.00,-174.00
-202.50,237.00,-153.00
-220.50,244.50,-130.50
-231.00,249.00,-114.00
-235.50,243.00,-81.00
-241.50,249.00,-42.00
-238.50,249.00,-22.50
-238.50,250.50,4.50
-240.00,252.00,27.00
-238.50,,36.00
-237.00,256.50,45.00
-231.00,256.50,42.00
-238.50,247.50,49.50
-226.50,262.50,96.00
-211.50,261.00,123.00
-211.50,268.50,135.00
-192.00,265.50,162.00
-171.00,,193.50
-171.00,259.50,213.00
-150.00,265.50,231.00
-126.00,265.50,265.50
-106.50,258.00,279.00
-90.00,259.50,289.50
-88.50,262.50,298.50
-93.00,264.00,297.00
-91.50,265.50,294.00
-81.00,261.00,286.50
-75.00,268.50,303.00
-45.00,259.50,310.50
-48.00,267.00,316.50
-40.50,265.50,312.00
-33.00,256.50,
-30.00,265.50,319.50
-28.50,258.00,325.50
9.00,268.50,330.00
46.50,259.50,339.00
82.50,264.00,
105.00,268.50,327.00
93.00,264.00,327.00
97.50,270.00,322.50
94.50,268.50,310.50
69.00,264.00,327.00
33.00,270.00,324.00
-9.00,271.50,313.50
-54.00,271.50,297.00
-91.50,273.00,273.00
-129.00,270.00,246.00
-157.50,268.50,213.00
-193.50,265.50,184.50
-210.00,261.00,144.00
-225.00,255.00,99.00
-229.50,,70.50
-238.50,247.50,31.50
-237.00,255.00,31.50
-240.00,250.50,36.00
-243.00,243.00,4.50
-244.50,240.00,-36.00
-237.00,246.00,-60.00
-225.00,237.00,-120.00
-225.00,238.50,-126.00
-240.00,229.50,-130.50
-231.00,228.00,-127.50
-201.00,222.00,-180.00
-169.50,225.00,-216.00
-154.50,226.50,-220.50
-157.50,220.50,-213.00
-150.00,231.00,-208.50
-159.00,226.50,-207.00
-151.50,,-213.00
-117.00,228.00,-235.50
-72.00,235.50,-240.00
-42.00,237.00,-244.50
-22.50,229.50,-244.50
18.00,228.00,-231.00
48.00,235.50,-223.50
43.50,,-217.50
45.00,222.00,-229.50
39.00,228.00,-225.00
51.00,,-226.50
72.00,237.00,-211.50
120.00,231.00,-183.00
148.50,232.50,-144.00
184.50,231.00,-112.50
208.50,237.00,-63.00
234.00,232.50,-16.50
234.00,,18.00
238.50,247.50,33.00
240.00,249.00,30.00
250.50,250.50,88.50
240.00,,130.50
231.00,256.50,168.00
217.50,264.00,208.50
205.50,259.50,244.50
171.00,267.00,274.50
142.50,268.50,303.00
82.50,276.00,318.00
67.50,270.00,319.50
70.50,273.00,322.50
67.50,273.00,313.50
72.00,265.50,318.00
67.50,270.00,328.50
19.50,265.50,334.50
-18.00,268.50,325.50
-49.50,267.00,310.50
-73.50,258.00,297.00
-108.00,264.00,268.50
-132.00,259.50,253.50
-157.50,,232.50
-181.50,256.50,193.50
-205.50,261.00,157.50
-226.50,252.00,109.50
-234.00,256.50,63.00
-232.50,250.50,39.00
-237.00,246.00,-1.50
-235.50,252.00,-34.50
-228.00,249.00,-67.50
-235.50,247.50,-70.50
