Mag X,Mag Y,Mag Z
75.00,594.00,108.00
72.00,594.00,112.50
69.00,597.00,106.50
72.00,592.50,106.50
66.00,592.50,109.50
72.00,597.00,108.00
75.00,588.00,108.00
79.50,594.00,102.00
75.00,598.50,108.00
72.00,592.50,105.00
72.00,597.00,103.50
70.50,594.00,106.50
78.00,591.00,106.50
75.00,597.00,109.50
73.50,597.00,97.50
63.00,591.00,102.00
70.50,589.50,106.50
69.00,594.00,106.50
72.00,597.00,106.50
64.50,598.50,105.00
69.00,600.00,99.00
64.50,595.50,106.50
55.50,592.50,102.00
66.00,597.00,105.00
72.00,598.50,105.00
63.00,592.50,103.50
72.00,598.50,91.50
73.50,598.50,90.00
69.00,588.00,81.00
64.50,592.50,76.50
66.00,606.00,63.00
57.00,604.50,55.50
46.50,598.50,54.00
40.50,603.00,52.50
28.50,598.50,46.50
34.50,591.00,43.50
36.00,597.00,31.50
37.50,598.50,28.50
28.50,591.00,21.00
30.00,592.50,12.00
25.50,597.00,12.00
21.00,595.50,12.00
21.00,598.50,7.50
18.00,600.00,-1.50
15.00,591.00,-12.00
9.00,586.50,-16.50
13.50,585.00,-18.00
13.50,586.50,-27.00
25.50,577.50,-31.50
27.00,574.50,-33.00
10.50,574.50,-30.00
-3.00,577.50,-15.00
-12.00,585.00,-1.50
-25.50,606.00,33.00
-34.50,606.00,46.50
-34.50,613.50,64.50
-45.00,612.00,76.50
-54.00,615.00,90.00
-49.50,612.00,94.50
-49.50,618.00,93.00
-54.00,613.50,88.50
-48.00,613.50,79.50
-48.00,618.00,79.50
-37.50,609.00,75.00
-39.00,606.00,73.50
-40.50,615.00,69.00
-49.50,615.00,66.00
-40.50,612.00,69.00
-42.00,610.50,69.00
-46.50,616.50,63.00
-40.50,615.00,67.50
-42.00,607.50,61.50
-42.00,612.00,66.00
-42.00,604.50,66.00
-37.50,606.00,63.00
-37.50,616.50,69.00
-45.00,616.50,61.50
-42.00,,
-39.00,615.00,63.00
-42.00,616.50,66.00
-39.00,607.50,67.50
-39.00,609.00,67.50
-43.50,618.00,64.50
-34.50,609.00,61.50
